mm,147,64,12544,relu,802816,mm,576,64,3136,relu,200704,mm,576,64,3136,mm,576,64,3136,relu,200704,mm,576,64,3136,mm,576,128,784,relu,100352,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,100352,mm,1152,128,784,mm,1152,256,196,relu,50176,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,50176,mm,2304,256,196,mm,2304,512,49,relu,25088,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,25088,mm,4608,512,49,mm,1,512,1000
mm,147,64,12544,relu,1605632,mm,576,64,3136,relu,401408,mm,576,64,3136,mm,576,64,3136,relu,401408,mm,576,64,3136,mm,576,128,784,relu,200704,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,200704,mm,1152,128,784,mm,1152,256,196,relu,100352,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,100352,mm,2304,256,196,mm,2304,512,49,relu,50176,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,50176,mm,4608,512,49,mm,2,512,1000
mm,147,64,12544,relu,3211264,mm,576,64,3136,relu,802816,mm,576,64,3136,mm,576,64,3136,relu,802816,mm,576,64,3136,mm,576,128,784,relu,401408,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,401408,mm,1152,128,784,mm,1152,256,196,relu,200704,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,200704,mm,2304,256,196,mm,2304,512,49,relu,100352,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,100352,mm,4608,512,49,mm,4,512,1000
mm,147,64,12544,relu,6422528,mm,576,64,3136,relu,1605632,mm,576,64,3136,mm,576,64,3136,relu,1605632,mm,576,64,3136,mm,576,128,784,relu,802816,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,802816,mm,1152,128,784,mm,1152,256,196,relu,401408,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,401408,mm,2304,256,196,mm,2304,512,49,relu,200704,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,200704,mm,4608,512,49,mm,8,512,1000
mm,147,64,12544,relu,12845056,mm,576,64,3136,relu,3211264,mm,576,64,3136,mm,576,64,3136,relu,3211264,mm,576,64,3136,mm,576,128,784,relu,1605632,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,1605632,mm,1152,128,784,mm,1152,256,196,relu,802816,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,802816,mm,2304,256,196,mm,2304,512,49,relu,401408,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,401408,mm,4608,512,49,mm,16,512,1000
mm,147,64,12544,relu,25690112,mm,576,64,3136,relu,6422528,mm,576,64,3136,mm,576,64,3136,relu,6422528,mm,576,64,3136,mm,576,128,784,relu,3211264,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,3211264,mm,1152,128,784,mm,1152,256,196,relu,1605632,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,1605632,mm,2304,256,196,mm,2304,512,49,relu,802816,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,802816,mm,4608,512,49,mm,32,512,1000
mm,147,64,12544,relu,51380224,mm,576,64,3136,relu,12845056,mm,576,64,3136,mm,576,64,3136,relu,12845056,mm,576,64,3136,mm,576,128,784,relu,6422528,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,6422528,mm,1152,128,784,mm,1152,256,196,relu,3211264,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,3211264,mm,2304,256,196,mm,2304,512,49,relu,1605632,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,1605632,mm,4608,512,49,mm,64,512,1000
mm,147,64,12544,relu,102760448,mm,576,64,3136,relu,25690112,mm,576,64,3136,mm,576,64,3136,relu,25690112,mm,576,64,3136,mm,576,128,784,relu,12845056,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,12845056,mm,1152,128,784,mm,1152,256,196,relu,6422528,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,6422528,mm,2304,256,196,mm,2304,512,49,relu,3211264,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,3211264,mm,4608,512,49,mm,128,512,1000
mm,147,64,12544,relu,205520896,mm,576,64,3136,relu,51380224,mm,576,64,3136,mm,576,64,3136,relu,51380224,mm,576,64,3136,mm,576,128,784,relu,25690112,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,25690112,mm,1152,128,784,mm,1152,256,196,relu,12845056,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,12845056,mm,2304,256,196,mm,2304,512,49,relu,6422528,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,6422528,mm,4608,512,49,mm,256,512,1000
mm,147,64,12544,relu,411041792,mm,576,64,3136,relu,102760448,mm,576,64,3136,mm,576,64,3136,relu,102760448,mm,576,64,3136,mm,576,128,784,relu,51380224,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,51380224,mm,1152,128,784,mm,1152,256,196,relu,25690112,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,25690112,mm,2304,256,196,mm,2304,512,49,relu,12845056,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,12845056,mm,4608,512,49,mm,512,512,1000
mm,147,64,12544,relu,822083584,mm,576,64,3136,relu,205520896,mm,576,64,3136,mm,576,64,3136,relu,205520896,mm,576,64,3136,mm,576,128,784,relu,102760448,mm,1152,128,784,mm,64,128,784,mm,1152,128,784,relu,102760448,mm,1152,128,784,mm,1152,256,196,relu,51380224,mm,2304,256,196,mm,128,256,196,mm,2304,256,196,relu,51380224,mm,2304,256,196,mm,2304,512,49,relu,25690112,mm,4608,512,49,mm,256,512,49,mm,4608,512,49,relu,25690112,mm,4608,512,49,mm,1024,512,1000
