131072,735
262144,1061
393216,1387
524288,1713
655360,2040
786432,2711
917504,3037
1048576,3363
1179648,3689
1310720,4015
1441792,4341
1572864,4667
1703936,4993
1835008,5319
1966080,5645
2097152,6321
2228224,6669
2359296,6995
2490368,7321
2621440,7647
2752512,7973
2883584,8300
3014656,8626
3145728,8952
3276800,9278
3407872,9604
3538944,10267
3670016,10620
3801088,10946
3932160,11272
4063232,11598
4194304,11925
4325376,12251
4456448,12577
4587520,12903
4718592,13229
4849664,13555
4980736,14218
5111808,14571
5242880,14897
5373952,15223
5505024,15549
5636096,15876
5767168,16202
5898240,16528
6029312,16854
6160384,17180
6291456,17506
6422528,18204
6553600,18530
6684672,18856
6815744,19182
6946816,19508
7077888,19835
7208960,20161
7340032,20487
7471104,20813
7602176,21139
7733248,21465
7864320,22159
7995392,22485
8126464,22811
8257536,23137
8388608,23463
8519680,23790
8650752,24116
8781824,24442
8912896,24768
9043968,25094
9175040,25421
9306112,26110
9437184,26436
9568256,26762
9699328,27088
9830400,27414
9961472,27741
10092544,28067
10223616,28393
10354688,28719
10485760,29045
10616832,29721
10747904,30069
10878976,30395
11010048,30721
11141120,31047
11272192,31373
11403264,31700
11534336,32026
11665408,32352
11796480,32678
11927552,33004
12058624,33667
12189696,34020
12320768,34346
12451840,34672
12582912,34998
12713984,35325
12845056,35651
12976128,35977
13107200,36303
13238272,36629
13369344,36955
13500416,37618
13631488,37971
13762560,38297
13893632,38623
14024704,38949
14155776,39276
14286848,39602
14417920,39928
14548992,40254
14680064,40580
14811136,40906
14942208,41604
15073280,41930
15204352,42256
15335424,42582
15466496,42908
15597568,43235
15728640,43561
15859712,43887
15990784,44213
16121856,44539
16252928,44865
16384000,45559
16515072,45885
16646144,46211
16777216,46537
