128,128,750
128,256,1138
128,512,1867
128,1024,3662
128,2048,6970
128,4096,13166
128,8192,26312
128,16384,51834
128,32768,103079
128,65536,206240
256,128,750
256,256,1138
256,512,1867
256,1024,3662
256,2048,6970
256,4096,13166
256,8192,26312
256,16384,51834
256,32768,103079
256,65536,206240
512,128,750
512,256,1138
512,512,1867
512,1024,3662
512,2048,6970
512,4096,13166
512,8192,26312
512,16384,51834
512,32768,103079
512,65536,206240
1024,128,750
1024,256,1138
1024,512,1867
1024,1024,3662
1024,2048,6970
1024,4096,13166
1024,8192,26312
1024,16384,51834
1024,32768,103079
1024,65536,206240
2048,128,750
2048,256,1138
2048,512,1867
2048,1024,3662
2048,2048,6970
2048,4096,13166
2048,8192,26312
2048,16384,51834
2048,32768,103079
2048,65536,206240
4096,128,750
4096,256,1138
4096,512,1867
4096,1024,3662
4096,2048,6970
4096,4096,13166
4096,8192,26312
4096,16384,51834
4096,32768,103079
4096,65536,206240
8192,128,1169
8192,256,1945
8192,512,3767
8192,1024,7037
8192,2048,13218
8192,4096,26337
8192,8192,51905
8192,16384,103220
8192,32768,206240
8192,65536,412118
16384,128,2008
16384,256,3932
16384,512,7176
16384,1024,13389
16384,2048,26494
16384,4096,51941
16384,8192,103384
16384,16384,206510
16384,32768,412049
16384,65536,823212
32768,128,4048
32768,256,7524
32768,512,13686
32768,1024,26823
32768,2048,52321
32768,4096,103929
32768,8192,206740
32768,16384,412548
32768,32768,823373
32768,65536,1646112
65536,128,7763
65536,256,14708
65536,512,27407
65536,1024,53222
65536,2048,104646
65536,4096,207286
65536,8192,412977
65536,16384,824191
65536,32768,1646227
65536,65536,3291912
