operation,data_type,thread,iteration,vec_length,buffer_size,latency,correct
MATVEC,uint32_t,1,64,256,32,8.030667,True
MATVEC,uint32_t,1,64,256,64,7.729667,True
MATVEC,uint32_t,1,64,256,128,7.619333,True
MATVEC,uint32_t,1,64,256,256,7.561,True
MATVEC,uint32_t,1,64,512,8,18.497667,True
MATVEC,uint32_t,1,64,512,16,16.694667,True
MATVEC,uint32_t,1,64,512,32,15.890333,True
MATVEC,uint32_t,1,64,512,64,15.372333,True
MATVEC,uint32_t,1,64,512,128,15.139333,True
MATVEC,uint32_t,1,64,512,256,15.049333,True
MATVEC,uint32_t,1,64,1024,8,36.927667,True
MATVEC,uint32_t,1,64,1024,16,33.300667,True
MATVEC,uint32_t,1,64,1024,32,31.739,True
MATVEC,uint32_t,1,64,1024,64,30.654667,True
MATVEC,uint32_t,1,64,1024,128,30.192333,True
MATVEC,uint32_t,1,64,1024,256,29.984,True
MATVEC,uint32_t,1,64,2048,8,73.755,True
MATVEC,uint32_t,1,64,2048,16,66.509667,True
MATVEC,uint32_t,1,64,2048,32,63.319,True
MATVEC,uint32_t,1,64,2048,64,61.216667,True
MATVEC,uint32_t,1,64,2048,128,60.287,True
MATVEC,uint32_t,1,64,2048,256,59.884333,True
MATVEC,uint32_t,1,64,4096,8,147.419333,True
MATVEC,uint32_t,1,64,4096,16,132.921,True
MATVEC,uint32_t,1,64,4096,32,126.534,True
MATVEC,uint32_t,1,64,4096,64,122.366667,True
MATVEC,uint32_t,1,64,4096,128,120.454667,True
MATVEC,uint32_t,1,64,4096,256,119.646333,True
MATVEC,uint32_t,1,64,8192,8,294.809,True
MATVEC,uint32_t,1,64,8192,16,265.713,True
MATVEC,uint32_t,1,64,8192,32,252.955667,True
MATVEC,uint32_t,1,64,8192,64,244.582667,True
MATVEC,uint32_t,1,64,8192,128,240.85,True
MATVEC,uint32_t,1,64,8192,256,239.253333,True
MATVEC,uint32_t,1,128,16,8,1.353333,True
MATVEC,uint32_t,1,128,16,16,1.176333,True
MATVEC,uint32_t,1,128,32,8,2.445333,True
MATVEC,uint32_t,1,128,32,16,2.215667,True
MATVEC,uint32_t,1,128,32,32,2.113333,True
MATVEC,uint32_t,1,128,64,8,4.752333,True
MATVEC,uint32_t,1,128,64,16,4.293333,True
MATVEC,uint32_t,1,128,64,32,4.066,True
MATVEC,uint32_t,1,128,64,64,3.959,True
MATVEC,uint32_t,1,128,128,8,9.352667,True
MATVEC,uint32_t,1,128,128,16,8.441667,True
MATVEC,uint32_t,1,128,128,32,8.048,True
MATVEC,uint32_t,1,128,128,64,7.795,True
MATVEC,uint32_t,1,128,128,128,7.666,True
MATVEC,uint32_t,1,128,256,8,18.552333,True
MATVEC,uint32_t,1,128,256,16,16.734667,True
MATVEC,uint32_t,1,128,256,32,16.005333,True
MATVEC,uint32_t,1,128,256,64,15.419,True
MATVEC,uint32_t,1,128,256,128,15.195,True
MATVEC,uint32_t,1,128,256,256,15.191,True
