operation,data_type,iteration,cycle_count
DMA_LOAD,8,1,0.0001250000000000001,43.750000000000036
DMA_LOAD,16,1,0.00042187499999999994,147.65624999999997
DMA_LOAD,24,1,0.00033334374999999987,116.67031249999995
DMA_LOAD,32,1,0.00029167187499999983,102.08515624999994
DMA_LOAD,40,1,0.00023437499999999977,82.03124999999991
DMA_LOAD,48,1,0.0003697968749999999,129.42890624999995
DMA_LOAD,56,1,0.00045312499999999997,158.59375
DMA_LOAD,64,1,0.00030729687499999984,25.55390624999994
DMA_LOAD,72,1,0.0003541718750000003,123.96015625000011
DMA_LOAD,80,1,0.0003854218749999999,134.89765624999998
DMA_LOAD,88,1,0.00053646875,187.76406250000002
DMA_LOAD,96,1,0.0005,175.0
DMA_LOAD,104,1,0.00042709374999999996,149.4828125
DMA_LOAD,112,1,0.000463546875,162.24140624999998
DMA_LOAD,120,1,0.00044790624999999995,126.76718749999998
DMA_LOAD,128,1,0.0003697968749999999,42.42890624999995
DMA_LOAD,136,1,0.0003489531250000003,122.1335937500001
DMA_LOAD,144,1,0.000552078125,193.22734375000002
DMA_LOAD,152,1,0.00052603125,184.1109375
DMA_LOAD,160,1,0.000473953125,165.88359375
DMA_LOAD,168,1,0.0006197968750000001,216.92890625000004
DMA_LOAD,176,1,0.0003906249999999999,136.71874999999997
DMA_LOAD,184,1,0.000515625,180.46875
DMA_LOAD,192,1,0.00040624999999999993,142.18749999999997
DMA_LOAD,200,1,0.0005,175.0
DMA_LOAD,208,1,0.0003593749999999999,125.78124999999996
DMA_LOAD,216,1,0.0006458281249999997,226.0398437499999
DMA_LOAD,224,1,0.000494796875,173.17890625
DMA_LOAD,232,1,0.0005885312500000001,205.98593750000003
DMA_LOAD,240,1,0.000463546875,162.24140624999998
DMA_LOAD,248,1,0.0005677031250000001,198.69609375000002
DMA_LOAD,256,1,0.000546875,70.40625000000003
DMA_LOAD,512,1,0.000947921875,100.77265625
DMA_LOAD,520,1,0.001036453125,362.75859375
DMA_LOAD,528,1,0.0008645937499999995,302.6078124999998
DMA_LOAD,536,1,0.0009739687499999996,340.88906249999985
DMA_LOAD,544,1,0.0006822968749999997,238.8039062499999
DMA_LOAD,552,1,0.0010729218749999997,375.5226562499999
DMA_LOAD,560,1,0.0008697812499999999,304.4234375
DMA_LOAD,568,1,0.001052078125,368.22734375000005
DMA_LOAD,576,1,0.0007604218750000002,266.14765625000007
DMA_LOAD,584,1,0.0010520937499999996,368.23281249999985
DMA_LOAD,592,1,0.00094271875,329.95156249999997
DMA_LOAD,600,1,0.0010624999999999996,371.8749999999999
DMA_LOAD,608,1,0.0009895781249999996,346.3523437499999
DMA_LOAD,616,1,0.000973953125,340.88359375
DMA_LOAD,624,1,0.001083328125,379.16484375000005
DMA_LOAD,632,1,0.001,350.0
DMA_LOAD,640,1,0.0010989531249999997,384.6335937499999
DMA_LOAD,648,1,0.0009166718750000004,320.8351562500001
DMA_LOAD,656,1,0.0011718750000000002,410.15625000000006
DMA_LOAD,664,1,0.0008541562499999999,298.9546875
DMA_LOAD,672,1,0.0010937499999999997,382.8124999999999
DMA_LOAD,680,1,0.0010677187499999997,373.70156249999985
DMA_LOAD,688,1,0.0012291718750000002,430.21015625000007
DMA_LOAD,696,1,0.0010989687499999997,384.6390624999999
DMA_LOAD,704,1,0.0011197968750000001,391.92890625000007
DMA_LOAD,712,1,0.0011406249999999997,399.2187499999999
DMA_LOAD,720,1,0.0012187500000000002,426.56250000000006
DMA_LOAD,728,1,0.0011145781250000006,390.1023437500002
DMA_LOAD,736,1,0.0011770781250000002,411.97734375000005
DMA_LOAD,744,1,0.001088546875,380.99140625
DMA_LOAD,752,1,0.0011562500000000002,404.68750000000006
DMA_LOAD,760,1,0.0012291718750000002,430.21015625000007
DMA_LOAD,768,1,0.0011666718750000002,408.33515625000007
DMA_LOAD,776,1,0.0013072968749999999,457.55390624999995
DMA_LOAD,784,1,0.0011822968749999998,413.8039062499999
DMA_LOAD,792,1,0.0012760468749999998,446.61640624999995
DMA_LOAD,800,1,0.0011302031250000006,395.5710937500002
DMA_LOAD,808,1,0.0012447968749999998,435.67890624999995
DMA_LOAD,816,1,0.001359375,475.78124999999994
DMA_LOAD,824,1,0.0014374999999999995,503.12499999999983
DMA_LOAD,832,1,0.00144271875,504.9515625
DMA_LOAD,840,1,0.00150521875,526.8265625
DMA_LOAD,848,1,0.0011979062500000002,419.2671875000001
DMA_LOAD,856,1,0.0013958281249999995,488.5398437499998
DMA_LOAD,864,1,0.0015104218749999996,528.6476562499998
DMA_LOAD,872,1,0.00144271875,504.9515625
DMA_LOAD,880,1,0.001348953125,472.13359375
DMA_LOAD,888,1,0.001380203125,483.07109375
DMA_LOAD,896,1,0.0015625,546.875
DMA_LOAD,904,1,0.0012031249999999998,421.09374999999994
DMA_LOAD,912,1,0.001411453125,494.00859375
DMA_LOAD,920,1,0.0014895781250000005,521.3523437500002
DMA_LOAD,928,1,0.0015624999999999997,546.8749999999999
DMA_LOAD,936,1,0.0012656249999999998,442.96874999999994
DMA_LOAD,944,1,0.0014687500000000004,514.0625000000001
DMA_LOAD,952,1,0.0014322812500000004,501.29843750000015
DMA_LOAD,960,1,0.0014062500000000004,492.1875000000001
DMA_LOAD,968,1,0.00155728125,545.0484375
DMA_LOAD,976,1,0.001838546875,643.49140625
DMA_LOAD,984,1,0.0015833437500000001,554.1703125
DMA_LOAD,992,1,0.001578125,552.34375
DMA_LOAD,1000,1,0.0015989531250000001,559.63359375
DMA_LOAD,1008,1,0.0016874999999999998,590.6249999999999
DMA_LOAD,1016,1,0.00153125,535.9375
DMA_LOAD,1024,1,0.0017031249999999998,596.0937499999999
DMA_LOAD,1032,1,0.0018802187499999995,658.0765624999998
DMA_LOAD,1040,1,0.00204165625,714.5796875
DMA_LOAD,1048,1,0.0017239531249999998,603.3835937499999
DMA_LOAD,1056,1,0.0018281250000000003,639.8437500000001
DMA_LOAD,1064,1,0.001875,656.25
DMA_LOAD,1072,1,0.0017812500000000003,623.4375000000001
DMA_LOAD,1080,1,0.0017604062499999998,616.1421875
DMA_LOAD,1088,1,0.00195834375,685.4203125
DMA_LOAD,1096,1,0.0019270781250000004,674.4773437500002
DMA_LOAD,1104,1,0.001895828125,663.5398437499999
DMA_LOAD,1112,1,0.001927078125,674.47734375
DMA_LOAD,1120,1,0.001984375,694.53125
DMA_LOAD,1128,1,0.0018020781249999999,630.7273437499999
DMA_LOAD,1136,1,0.0019375000000000004,678.1250000000001
DMA_LOAD,1144,1,0.0019583281250000004,685.4148437500002
DMA_LOAD,1152,1,0.0019375,678.125
DMA_LOAD,1160,1,0.0019635468750000004,687.2414062500002
DMA_LOAD,1168,1,0.002104171875,736.4601562500001
DMA_LOAD,1176,1,0.001958328125,685.41484375
DMA_LOAD,1184,1,0.002057296875,720.0539062500001
DMA_LOAD,1192,1,0.0020729218749999997,725.5226562499998
DMA_LOAD,1200,1,0.0021458281249999997,751.0398437499999
DMA_LOAD,1208,1,0.0020208281250000005,707.2898437500002
DMA_LOAD,1216,1,0.00201040625,703.6421875
DMA_LOAD,1224,1,0.002,700.0
DMA_LOAD,1232,1,0.00196353125,687.2359375
