operation,data_type,iteration,cycle_count
MUL,1,uint32_t,1,0.0002522175903320312,88.27615661621093
MUL,1,uint32_t,2,0.0002837727661132813,99.32046813964844
MUL,1,uint32_t,4,0.0003152872314453125,110.35053100585937
MUL,1,uint32_t,8,0.00034663897705078123,121.32364196777343
MUL,1,uint32_t,16,0.00037774658203125,132.2113037109375
MUL,1,uint32_t,32,0.00040946447753906245,143.31256713867185
MUL,1,uint32_t,64,0.0004408365478515625,154.29279174804688
MUL,1,uint32_t,128,0.00047263586425781246,165.42255249023435
MUL,1,uint32_t,256,0.00050390625,176.3671875
MUL,1,uint32_t,512,0.0005351562499999999,187.30468749999997
MUL,1,uint32_t,1024,0.000567138671875,198.49853515625
MUL,1,uint32_t,2048,0.00059857177734375,209.5001220703125
MUL,1,uint32_t,4096,0.0006294962158203125,220.32367553710935
MUL,1,uint32_t,8192,0.0006614176025390625,231.49616088867185
MUL,1,uint32_t,16384,0.0006928100585937499,242.48352050781247
MUL,1,uint32_t,32768,0.00072430419921875,253.50646972656253
MUL,1,uint32_t,65536,0.0007557576293945312,264.5151702880859
MUL,1,uint32_t,131072,0.0007878010864257813,275.7303802490235
MUL,1,uint32_t,262144,0.0008189697265625,286.639404296875
MUL,1,uint32_t,524288,0.0008503621215820312,297.6267425537109
MUL,1,uint32_t,1048576,0.0008813272705078124,308.46454467773435
MUL,1,uint32_t,2097152,0.0009132893676757812,319.6512786865234
MUL,1,uint32_t,4194304,0.0009449462890625,330.731201171875
MUL,1,uint32_t,8388608,0.0009761759033203126,341.6615661621094
MUL,1,uint32_t,16777216,0.001008056640625,352.81982421874994
MUL,1,uint32_t,33554432,0.0010395711059570313,363.849887084961
MUL,1,uint32_t,67108864,0.0010711466064453124,374.90131225585935
MUL,1,uint32_t,134217728,0.0011024169921875,385.845947265625
MUL,1,uint32_t,268435456,0.0011341755981445312,396.9614593505859
MUL,1,uint32_t,536870912,0.0011651814575195313,407.813510131836
MUL,1,uint32_t,1073741824,0.00119659423828125,418.8079833984375
