data_type,thread,iteration,buffer_size,latency,correct
uint16_t,16,512,8,5.243333,True
uint16_t,16,256,128,39.265,True
uint16_t,16,512,16,10.116,True
uint16_t,16,512,32,19.875333,True
uint16_t,16,512,64,39.393,True
uint16_t,16,1024,8,10.381333,True
uint16_t,16,1024,16,20.14,True
uint16_t,16,512,128,78.416333,True
uint16_t,16,1024,32,39.651667,True
uint16_t,16,2048,8,20.664333,True
uint16_t,16,1024,64,78.693667,True
uint16_t,4,16384,128,1730.723333,True
uint16_t,16,2048,16,40.179333,True
uint16_t,8,8192,128,865.277667,True
uint16_t,16,1024,128,156.743333,True
uint16_t,16,2048,32,79.223333,True
uint16_t,16,4096,8,41.211667,True
uint16_t,16,2048,64,157.263667,True
uint16_t,16,4096,16,80.244667,True
uint16_t,8,16384,64,869.178333,True
uint16_t,16,4096,32,158.289333,True
uint16_t,16,8192,8,82.321667,True
uint16_t,16,2048,128,313.383667,True
uint16_t,16,8192,16,160.362,True
uint16_t,16,4096,64,314.450667,True
uint16_t,16,16384,8,164.568,True
uint16_t,16,8192,32,316.529,True
uint16_t,16,16384,16,320.684667,True
uint16_t,16,4096,128,626.651667,True
uint32_t,1,128,8,0.97,True
uint32_t,1,128,16,1.830667,True
uint32_t,1,128,32,3.508333,True
uint32_t,1,128,64,6.888,True
uint16_t,16,16384,128,NA,False
uint32_t,1,128,128,13.643333,True
uint32_t,1,256,8,1.881667,True
uint32_t,1,256,16,3.574333,True
uint32_t,1,256,32,6.950333,True
uint16_t,16,8192,64,628.738,True
uint32_t,1,256,64,13.708333,True
uint32_t,1,512,8,3.68,True
uint32_t,1,256,128,27.215333,True
uint32_t,1,512,16,7.083,True
uint32_t,1,512,32,13.82,True
uint32_t,1,1024,8,7.291333,True
uint32_t,1,512,64,27.406667,True
uint32_t,1,1024,16,14.095,True
uint32_t,1,512,128,54.364667,True
uint16_t,8,16384,128,1730.782333,True
uint32_t,1,1024,32,27.559667,True
uint16_t,16,16384,32,632.817667,True
uint32_t,1,2048,8,14.499333,True
uint32_t,1,1024,64,54.607333,True
uint32_t,1,2048,16,28.108667,True
uint32_t,1,1024,128,108.649667,True
uint32_t,1,2048,32,55.04,True
uint32_t,1,4096,8,28.917667,True
uint32_t,1,4096,16,56.134,True
uint32_t,1,2048,64,109.120667,True
uint32_t,1,4096,32,110.033,True
uint32_t,1,8192,8,57.745,True
uint32_t,1,2048,128,217.151,True
uint32_t,1,8192,16,112.202,True
uint32_t,1,4096,64,218.122667,True
uint32_t,1,16384,8,115.399667,True
uint32_t,1,8192,32,219.95,True
uint16_t,16,8192,128,1253.262333,True
uint32_t,1,4096,128,434.253333,True
uint32_t,1,16384,16,224.26,True
uint32_t,2,128,8,0.976667,True
uint32_t,2,128,16,1.825667,True
uint32_t,2,128,32,3.510333,True
uint32_t,2,128,64,6.889667,True
uint32_t,1,8192,64,436.140333,True
uint32_t,2,128,128,13.644,True
uint32_t,2,256,8,1.876667,True
uint32_t,2,256,16,3.574333,True
uint32_t,2,256,32,6.949667,True
uint32_t,2,256,64,13.710333,True
uint32_t,2,512,8,3.681333,True
uint32_t,2,256,128,27.227667,True
uint16_t,16,16384,64,1257.500667,True
uint32_t,2,512,16,7.078333,True
uint32_t,2,512,32,13.818333,True
uint32_t,2,512,64,27.340667,True
