operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint16_t,8,1024,16,6.028667,True
ADD,uint16_t,8,1024,32,10.754333,True
ADD,uint16_t,8,512,256,38.882667,True
ADD,uint16_t,2,16384,256,1240.345667,True
ADD,uint16_t,8,1024,64,20.371667,True
ADD,uint16_t,8,2048,8,7.503667,True
ADD,uint16_t,8,2048,16,11.987667,True
ADD,uint16_t,8,1024,128,39.847333,True
ADD,uint16_t,8,2048,32,21.43,True
ADD,uint16_t,8,2048,64,40.675,True
ADD,uint16_t,8,4096,8,14.942,True
ADD,uint16_t,8,1024,256,77.663,True
ADD,uint16_t,8,4096,16,23.923333,True
ADD,uint16_t,4,8192,256,620.303667,True
ADD,uint16_t,8,2048,128,80.134667,True
ADD,uint16_t,8,4096,32,42.827,True
ADD,uint16_t,8,8192,8,29.843667,True
ADD,uint16_t,8,4096,64,81.227667,True
ADD,uint16_t,8,8192,16,47.755,True
ADD,uint16_t,8,2048,256,155.238667,True
ADD,uint16_t,8,8192,32,85.593667,True
ADD,uint16_t,4,16384,128,640.594667,True
ADD,uint16_t,8,8192,256,NA,False
ADD,uint16_t,8,4096,128,160.216667,True
ADD,uint16_t,8,16384,8,59.628,True
ADD,uint16_t,8,16384,128,NA,False
ADD,uint16_t,8,8192,64,162.416333,True
ADD,uint16_t,8,16384,256,NA,False
ADD,uint16_t,8,16384,16,95.496,True
ADD,uint16_t,16,256,8,1.676667,True
ADD,uint16_t,16,256,16,2.007333,True
ADD,uint16_t,16,256,32,3.702667,True
ADD,uint16_t,16,256,64,7.076667,True
ADD,uint16_t,16,256,128,13.837,True
ADD,uint16_t,16,512,8,3.274333,True
ADD,uint16_t,16,512,16,3.928,True
ADD,uint16_t,8,4096,256,310.382667,True
ADD,uint16_t,8,16384,32,171.010667,True
ADD,uint16_t,16,512,32,7.305667,True
ADD,uint16_t,16,256,256,27.389667,True
ADD,uint16_t,16,512,64,14.06,True
ADD,uint16_t,16,1024,8,6.467667,True
ADD,uint16_t,16,1024,16,7.78,True
ADD,uint16_t,16,1024,32,14.536,True
ADD,uint16_t,16,512,128,27.589,True
ADD,uint16_t,16,1024,64,28.04,True
ADD,uint16_t,16,2048,8,12.861,True
ADD,uint16_t,16,512,256,54.639,True
ADD,uint16_t,16,2048,16,15.469333,True
ADD,uint16_t,8,8192,128,320.358667,True
ADD,uint16_t,16,1024,128,55.088333,True
ADD,uint16_t,16,2048,32,28.959667,True
ADD,uint16_t,16,4096,8,25.627,True
ADD,uint16_t,8,16384,64,324.935667,True
ADD,uint16_t,16,2048,64,56.006667,True
ADD,uint16_t,16,4096,16,30.851,True
ADD,uint16_t,16,1024,256,109.195,True
ADD,uint16_t,16,4096,32,57.884,True
ADD,uint16_t,16,4096,256,NA,False
ADD,uint16_t,16,2048,128,110.064,True
ADD,uint16_t,16,8192,8,51.188333,True
ADD,uint16_t,16,8192,16,61.602333,True
ADD,uint16_t,16,4096,64,111.964,True
ADD,uint16_t,16,8192,128,NA,False
ADD,uint16_t,16,8192,256,NA,False
ADD,uint16_t,16,2048,256,218.152,True
ADD,uint16_t,16,8192,32,115.623667,True
ADD,uint16_t,16,16384,64,NA,False
ADD,uint16_t,16,16384,8,102.280667,True
ADD,uint32_t,1,256,8,0.889333,True
ADD,uint16_t,16,16384,256,NA,False
ADD,uint32_t,1,256,16,1.518333,True
ADD,uint32_t,1,256,32,2.747667,True
ADD,uint32_t,1,256,64,5.221,True
ADD,uint16_t,16,16384,128,NA,False
ADD,uint32_t,1,256,128,10.132667,True
ADD,uint16_t,16,4096,128,220.011,True
ADD,uint32_t,1,512,8,1.745667,True
ADD,uint16_t,16,16384,16,123.148333,True
ADD,uint32_t,1,256,256,20.027333,True
ADD,uint32_t,1,512,16,2.985,True
ADD,uint32_t,1,512,32,5.443667,True
ADD,uint32_t,1,512,64,10.374333,True
ADD,uint32_t,1,1024,8,3.437,True
ADD,uint32_t,1,512,128,20.243,True
ADD,uint32_t,1,1024,16,5.947333,True
ADD,uint32_t,1,1024,32,10.843,True
ADD,uint32_t,1,512,256,39.998,True
ADD,uint32_t,1,1024,64,20.700667,True
ADD,uint32_t,1,2048,8,6.819,True
ADD,uint32_t,1,2048,16,11.798667,True
ADD,uint16_t,16,8192,64,223.757,True
ADD,uint32_t,1,1024,128,40.442333,True
ADD,uint32_t,1,2048,32,21.651333,True
ADD,uint32_t,1,1024,256,79.898333,True
ADD,uint32_t,1,4096,8,13.596667,True
ADD,uint32_t,1,2048,64,41.344,True
ADD,uint32_t,1,4096,16,23.549667,True
ADD,uint32_t,1,2048,128,80.778,True
ADD,uint32_t,1,4096,32,43.235333,True
ADD,uint16_t,16,16384,32,231.192667,True
ADD,uint32_t,1,8192,8,27.149667,True
ADD,uint32_t,1,4096,64,82.607333,True
ADD,uint32_t,1,8192,16,47.033333,True
ADD,uint32_t,1,2048,256,159.813667,True
ADD,uint32_t,1,8192,32,86.434,True
ADD,uint32_t,1,4096,128,161.492667,True
ADD,uint32_t,1,16384,8,54.238,True
ADD,uint32_t,1,16384,16,94.028,True
ADD,uint32_t,1,8192,64,165.162667,True
ADD,uint32_t,2,256,8,0.902,True
ADD,uint32_t,1,4096,256,319.482,True
ADD,uint32_t,2,256,16,1.552667,True
ADD,uint32_t,1,16384,32,172.728667,True
ADD,uint32_t,2,256,32,2.752667,True
ADD,uint32_t,2,256,64,5.276,True
ADD,uint32_t,1,8192,128,322.927667,True
ADD,uint32_t,2,256,128,10.159667,True
ADD,uint32_t,2,512,8,1.784333,True
ADD,uint32_t,2,256,256,20.036333,True
ADD,uint32_t,2,512,16,3.057,True
ADD,uint32_t,2,512,32,5.455333,True
ADD,uint32_t,2,512,64,10.446,True
ADD,uint32_t,2,1024,8,3.487,True
ADD,uint32_t,2,512,128,20.246667,True
ADD,uint32_t,2,1024,16,6.06,True
ADD,uint32_t,1,16384,64,330.364667,True
ADD,uint32_t,2,512,256,40.014667,True
ADD,uint32_t,2,1024,32,10.858333,True
ADD,uint32_t,2,1024,64,20.754667,True
ADD,uint32_t,2,2048,8,6.990333,True
ADD,uint32_t,2,2048,16,12.060667,True
ADD,uint32_t,2,1024,128,40.438,True
ADD,uint32_t,2,2048,32,21.654333,True
ADD,uint32_t,2,1024,256,79.925667,True
ADD,uint32_t,2,2048,64,41.386,True
ADD,uint32_t,2,4096,8,13.931667,True
ADD,uint32_t,2,4096,16,24.080333,True
ADD,uint32_t,2,2048,128,80.819,True
ADD,uint32_t,1,8192,256,638.914333,True
ADD,uint32_t,2,4096,32,43.260333,True
ADD,uint32_t,2,8192,8,27.387667,True
ADD,uint32_t,2,4096,64,82.689667,True
ADD,uint32_t,2,2048,256,159.794333,True
ADD,uint32_t,1,16384,128,645.773667,True
ADD,uint32_t,2,8192,16,47.756333,True
ADD,uint32_t,2,8192,32,86.435,True
ADD,uint32_t,2,16384,8,54.939,True
ADD,uint32_t,2,4096,128,161.542667,True
ADD,uint32_t,2,8192,64,165.286667,True
ADD,uint32_t,2,16384,16,96.144333,True
ADD,uint32_t,2,4096,256,319.498667,True
ADD,uint32_t,2,16384,32,172.807333,True
ADD,uint32_t,4,256,8,0.956667,True
ADD,uint32_t,2,16384,256,NA,False
ADD,uint32_t,4,256,16,1.551333,True
ADD,uint32_t,4,256,32,2.767667,True
