operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,512,128,21.848000,21.941285,0.43
ADD,uint16_t,4,1024,8,3.850667,3.930543,2.07
ADD,uint16_t,4,1024,16,6.605667,6.531997,-1.12
ADD,uint16_t,4,512,256,43.078000,43.339976,0.61
ADD,uint16_t,4,1024,32,11.804000,11.918512,0.97
ADD,uint16_t,4,1024,64,22.425667,22.456314,0.14
ADD,uint16_t,4,1024,128,43.635333,43.809681,0.40
ADD,uint16_t,4,2048,8,7.639000,7.792134,2.00
ADD,uint16_t,4,2048,16,13.184000,12.994315,-1.44
ADD,uint16_t,2,32768,64,714.623000,716.338725,0.24
ADD,uint16_t,4,1024,256,86.071667,86.604534,0.62
ADD,uint16_t,4,2048,32,23.570000,23.767195,0.84
ADD,uint16_t,4,2048,64,44.752333,44.841253,0.20
ADD,uint16_t,4,4096,8,15.212000,15.515318,1.99
ADD,uint16_t,4,2048,128,87.199667,87.546474,0.40
ADD,uint16_t,4,4096,16,26.296667,25.918951,-1.44
ADD,uint16_t,4,4096,32,47.066333,47.464559,0.85
ADD,uint16_t,4,2048,256,172.034667,173.133650,0.64
ADD,uint16_t,4,4096,64,89.488000,89.611133,0.14
ADD,uint16_t,4,8192,8,30.379667,30.961685,1.92
ADD,uint16_t,4,4096,128,174.317333,175.020061,0.40
ADD,uint16_t,4,8192,16,52.529000,51.768221,-1.45
ADD,uint16_t,1,32768,256,2750.393000,2748.449628,-0.07
ADD,uint16_t,2,16384,256,1375.294000,1384.511591,0.67
ADD,uint16_t,4,8192,32,94.078333,94.859287,0.83
ADD,uint16_t,4,16384,8,60.699667,61.854419,1.90
ADD,uint16_t,4,4096,256,344.006667,346.191882,0.64
ADD,uint16_t,4,16384,16,105.006000,103.466763,-1.47
ADD,uint16_t,4,8192,64,178.805333,179.150892,0.19
ADD,uint16_t,2,32768,128,1393.743333,1399.638307,0.42
ADD,uint16_t,4,16384,32,188.040000,189.648744,0.86
ADD,uint16_t,4,8192,128,348.500333,349.967233,0.42
ADD,uint16_t,4,32768,8,121.348000,123.639888,1.89
ADD,uint16_t,4,32768,16,209.928333,206.863847,-1.46
ADD,uint16_t,4,16384,64,357.649000,358.230409,0.16
ADD,uint16_t,4,8192,256,687.871333,692.308346,0.65
ADD,uint16_t,8,256,8,1.037333,1.040081,0.26
ADD,uint16_t,4,32768,32,376.068000,379.227659,0.84
ADD,uint16_t,8,256,16,1.713667,1.691832,-1.27
ADD,uint16_t,8,256,32,3.016000,3.038419,0.74
ADD,uint16_t,8,256,64,5.659000,5.676342,0.31
ADD,uint16_t,8,256,128,10.960000,11.018301,0.53
ADD,uint16_t,8,512,8,2.033000,2.006140,-1.32
ADD,uint16_t,8,256,256,21.600667,21.724366,0.57
ADD,uint16_t,8,512,16,3.361667,3.308257,-1.59
ADD,uint16_t,8,512,32,5.963333,6.001020,0.63
ADD,uint16_t,4,16384,128,696.918333,699.861577,0.42
ADD,uint16_t,8,512,64,11.262000,11.273246,0.10
ADD,uint16_t,8,1024,8,4.021667,3.938260,-2.07
ADD,uint16_t,8,512,128,21.865333,21.953780,0.40
ADD,uint16_t,8,1024,16,6.676667,6.541117,-2.03
ADD,uint16_t,8,512,256,43.109333,43.357659,0.58
