operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,512,128,15.267667,15.455252,1.23
ADD,uint16_t,4,1024,8,2.721000,2.644123,-2.83
ADD,uint16_t,4,512,256,30.113000,30.477724,1.21
ADD,uint16_t,4,1024,16,4.503667,4.542274,0.86
ADD,uint16_t,4,1024,32,8.359000,8.282109,-0.92
ADD,uint16_t,2,32768,64,499.276667,505.915332,1.33
ADD,uint16_t,4,1024,64,16.033333,15.877606,-0.97
ADD,uint16_t,4,2048,8,5.396667,5.221155,-3.25
ADD,uint16_t,4,1024,128,30.481667,30.840839,1.18
ADD,uint16_t,4,2048,16,8.958667,9.017272,0.65
ADD,uint16_t,4,2048,32,16.351000,16.496599,0.89
ADD,uint16_t,4,1024,256,60.130667,60.882989,1.25
ADD,uint16_t,4,2048,64,31.389333,31.686850,0.95
ADD,uint16_t,4,4096,8,10.715000,10.375218,-3.17
ADD,uint16_t,4,4096,16,17.853333,17.967270,0.64
ADD,uint16_t,4,2048,128,60.880000,61.612014,1.20
ADD,uint16_t,4,4096,32,32.658000,32.925580,0.82
ADD,uint16_t,4,4096,64,63.084667,63.305337,0.35
ADD,uint16_t,4,2048,256,120.170667,121.693520,1.27
ADD,uint16_t,4,8192,8,21.391667,20.683345,-3.31
ADD,uint16_t,1,32768,256,1921.594000,1918.810297,-0.14
ADD,uint16_t,4,8192,16,35.641333,35.867266,0.63
ADD,uint16_t,2,16384,256,960.834333,973.005010,1.27
ADD,uint16_t,4,4096,128,121.679333,123.154363,1.21
ADD,uint16_t,4,8192,32,65.233000,65.783543,0.84
ADD,uint16_t,4,16384,8,42.751333,41.299599,-3.40
ADD,uint16_t,4,8192,64,125.080000,126.542310,1.17
ADD,uint16_t,4,16384,16,71.228000,71.667256,0.62
ADD,uint16_t,4,4096,256,240.291333,243.314582,1.26
ADD,uint16_t,4,16384,32,130.411000,131.499468,0.83
ADD,uint16_t,2,32768,128,972.869667,984.693429,1.22
ADD,uint16_t,4,8192,128,243.307667,246.239062,1.20
ADD,uint16_t,4,32768,8,85.466667,82.532105,-3.43
ADD,uint16_t,4,16384,64,252.398667,253.016258,0.24
ADD,uint16_t,4,32768,16,142.393333,143.267238,0.61
ADD,uint16_t,8,256,8,0.743333,0.714664,-3.86
ADD,uint16_t,8,256,16,1.184333,1.190051,0.48
ADD,uint16_t,8,256,32,2.116333,2.124418,0.38
ADD,uint16_t,8,256,64,4.065000,4.025731,-0.97
ADD,uint16_t,8,512,8,1.408333,1.359343,-3.48
ADD,uint16_t,8,256,128,7.675667,7.770303,1.23
ADD,uint16_t,8,256,256,15.100000,15.288955,1.25
ADD,uint16_t,8,512,16,2.307000,2.310393,0.15
ADD,uint16_t,8,512,32,4.144333,4.177751,0.81
ADD,uint16_t,8,512,64,8.066667,7.978208,-1.10
ADD,uint16_t,4,32768,32,260.699333,262.931319,0.86
ADD,uint16_t,8,1024,8,2.767000,2.648705,-4.28
ADD,uint16_t,8,512,128,15.277000,15.463549,1.22
ADD,uint16_t,8,1024,16,4.563667,4.551079,-0.28
ADD,uint16_t,4,8192,256,480.473667,486.556705,1.27
ADD,uint16_t,8,512,256,30.123000,30.492750,1.23
ADD,uint16_t,8,1024,32,8.233333,8.284129,0.62
ADD,uint16_t,8,1024,64,16.065667,15.883164,-1.14
ADD,uint16_t,8,2048,8,5.498333,5.227422,-4.93
ADD,uint16_t,8,1024,128,30.492667,30.850043,1.17
ADD,uint16_t,8,2048,16,9.099000,9.032446,-0.73
ADD,uint16_t,8,2048,32,16.367000,16.496862,0.79
ADD,uint16_t,8,4096,8,10.905000,10.384857,-4.77
ADD,uint16_t,4,16384,128,486.497667,492.408459,1.21
ADD,uint16_t,8,1024,256,60.152000,60.900344,1.24
ADD,uint16_t,8,2048,64,32.075667,31.693070,-1.19
ADD,uint16_t,8,4096,16,18.084667,17.995181,-0.49
ADD,uint16_t,8,2048,128,60.936000,61.623026,1.13
ADD,uint16_t,8,4096,32,32.728667,32.922327,0.59
ADD,uint16_t,8,8192,8,21.779333,20.699726,-4.96
ADD,uint16_t,8,4096,64,64.115333,63.312882,-1.25
ADD,uint16_t,8,8192,16,36.287000,35.920649,-1.01
ADD,uint16_t,4,32768,64,499.356000,505.964153,1.32
ADD,uint16_t,8,2048,256,120.189667,121.715525,1.27
ADD,uint16_t,8,8192,32,65.394000,65.773257,0.58
ADD,uint16_t,8,4096,128,121.760000,123.168992,1.16
ADD,uint16_t,8,16384,8,43.510333,41.329465,-5.01
ADD,uint16_t,8,16384,16,72.501000,71.771586,-1.01
ADD,uint16_t,8,8192,64,127.852667,126.552506,-1.02
ADD,uint16_t,8,4096,256,240.284333,243.345888,1.27
ADD,uint16_t,8,16384,32,130.682667,131.475118,0.61
ADD,uint16_t,8,32768,8,86.973333,82.588943,-5.04
ADD,uint16_t,16,256,8,1.178333,1.071010,-9.11
ADD,uint16_t,16,256,16,1.586333,1.515595,-4.46
ADD,uint16_t,16,256,32,2.897667,2.787952,-3.79
ADD,uint16_t,8,8192,128,243.460333,246.260924,1.15
ADD,uint16_t,8,32768,16,144.717333,143.473461,-0.86
ADD,uint16_t,16,256,64,5.537667,5.435635,-1.84
ADD,uint16_t,16,512,8,2.271000,2.073242,-8.71
ADD,uint16_t,16,256,128,10.785333,10.639132,-1.36
ADD,uint16_t,16,512,16,3.094333,2.945977,-4.79
ADD,uint16_t,16,256,256,21.326333,21.073893,-1.18
ADD,uint16_t,16,512,32,5.726333,5.487493,-4.17
ADD,uint16_t,16,512,64,10.991333,10.778884,-1.93
ADD,uint16_t,16,1024,8,4.478000,4.077708,-8.94
ADD,uint16_t,16,512,128,21.500333,21.191170,-1.44
ADD,uint16_t,16,1024,16,6.113000,5.806740,-5.01
ADD,uint16_t,8,16384,64,256.266000,253.031755,-1.26
ADD,uint16_t,16,1024,32,11.374333,10.886578,-4.29
ADD,uint16_t,16,1024,64,21.888667,21.465383,-1.93
ADD,uint16_t,16,2048,8,8.871333,8.086359,-8.85
ADD,uint16_t,16,512,256,42.534667,42.025034,-1.20
ADD,uint16_t,16,2048,16,12.152333,11.528270,-5.14
ADD,uint16_t,16,2048,32,22.662667,21.683844,-4.32
ADD,uint16_t,16,1024,128,42.917000,42.295244,-1.45
ADD,uint16_t,16,4096,8,17.651333,16.104137,-8.77
ADD,uint16_t,8,32768,32,261.337000,262.878839,0.59
ADD,uint16_t,16,2048,64,43.671333,42.838383,-1.91
ADD,uint16_t,16,4096,16,24.214667,22.971324,-5.13
ADD,uint16_t,16,1024,256,84.958333,83.927318,-1.21
ADD,uint16_t,16,4096,32,45.242000,43.278733,-4.34
ADD,uint16_t,16,2048,128,85.722000,84.503395,-1.42
ADD,uint16_t,16,8192,8,35.221333,32.139860,-8.75
ADD,uint16_t,16,4096,64,87.235333,85.584378,-1.89
ADD,uint16_t,16,8192,16,48.362667,45.857431,-5.18
ADD,uint16_t,16,2048,256,169.780667,167.732755,-1.21
ADD,uint16_t,16,8192,32,90.382667,86.468511,-4.33
ADD,uint16_t,16,16384,8,70.370333,64.211306,-8.75
ADD,uint16_t,16,4096,128,171.311000,168.919691,-1.40
ADD,uint16_t,16,16384,16,96.639000,91.629646,-5.18
ADD,uint32_t,1,256,8,0.720000,0.709525,-1.45
ADD,uint16_t,16,8192,64,174.390333,171.076367,-1.90
ADD,uint32_t,1,256,16,1.183333,1.196364,1.10
ADD,uint32_t,1,256,32,2.140333,2.142978,0.12
ADD,uint32_t,1,256,64,4.055333,4.044546,-0.27
ADD,uint32_t,1,512,16,2.320333,2.326713,0.27
ADD,uint32_t,1,256,128,7.856000,7.847244,-0.11
ADD,uint32_t,1,512,8,1.389667,1.353036,-2.64
ADD,uint32_t,1,256,256,15.468000,15.475166,0.05
ADD,uint16_t,16,32768,8,140.647333,128.354198,-8.74
ADD,uint32_t,1,512,32,4.214000,4.219943,0.14
ADD,uint32_t,1,512,64,8.063333,8.023079,-0.50
ADD,uint32_t,1,1024,8,2.721667,2.640057,-3.00
ADD,uint32_t,1,512,128,15.656333,15.628473,-0.18
ADD,uint32_t,1,1024,16,4.581000,4.587413,0.14
ADD,uint32_t,1,1024,32,8.383000,8.373872,-0.11
ADD,uint32_t,1,512,256,30.869333,30.884318,0.05
ADD,uint16_t,16,16384,32,180.683000,172.848068,-4.34
ADD,uint32_t,1,2048,8,5.405000,5.214101,-3.53
ADD,uint32_t,1,1024,64,16.079333,15.980144,-0.62
ADD,uint32_t,1,2048,16,9.131333,9.108812,-0.25
