operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,512,64,8.005000,7.875781,-1.61
ADD,uint16_t,4,512,128,15.267667,15.358644,0.60
ADD,uint16_t,4,1024,8,2.721000,2.454025,-9.81
ADD,uint16_t,4,512,256,30.113000,30.381112,0.89
ADD,uint16_t,4,1024,16,4.503667,4.350129,-3.41
ADD,uint16_t,4,1024,32,8.359000,8.089564,-3.22
ADD,uint16_t,2,32768,64,499.276667,499.736223,0.09
ADD,uint16_t,4,1024,64,16.033333,15.683123,-2.18
ADD,uint16_t,4,2048,8,5.396667,4.840965,-10.30
ADD,uint16_t,4,1024,128,30.481667,30.647683,0.54
ADD,uint16_t,4,2048,16,8.958667,8.633265,-3.63
ADD,uint16_t,4,2048,32,16.351000,16.111710,-1.46
ADD,uint16_t,4,1024,256,60.130667,60.689829,0.93
ADD,uint16_t,4,2048,64,31.389333,31.297806,-0.29
ADD,uint16_t,4,4096,8,10.715000,9.614845,-10.27
ADD,uint16_t,4,4096,16,17.853333,17.199537,-3.66
ADD,uint16_t,4,2048,128,60.880000,61.225761,0.57
ADD,uint16_t,4,4096,32,32.658000,32.156004,-1.54
ADD,uint16_t,4,4096,64,63.084667,62.527173,-0.88
ADD,uint16_t,4,2048,256,120.170667,121.307263,0.95
ADD,uint16_t,4,8192,8,21.391667,19.162605,-10.42
ADD,uint16_t,1,32768,256,1921.594000,1911.601337,-0.52
ADD,uint16_t,4,8192,16,35.641333,34.332081,-3.67
ADD,uint16_t,2,16384,256,960.834333,969.915455,0.95
ADD,uint16_t,4,4096,128,121.679333,122.381916,0.58
ADD,uint16_t,4,8192,32,65.233000,64.244591,-1.52
ADD,uint16_t,4,16384,8,42.751333,38.258125,-10.51
ADD,uint16_t,4,8192,64,125.080000,124.985907,-0.08
ADD,uint16_t,4,16384,16,71.228000,68.597169,-3.69
ADD,uint16_t,4,4096,256,240.291333,242.542130,0.94
ADD,uint16_t,4,16384,32,130.411000,128.421764,-1.53
ADD,uint16_t,2,32768,128,972.869667,978.514321,0.58
ADD,uint16_t,4,8192,128,243.307667,244.694226,0.57
ADD,uint16_t,4,32768,8,85.466667,76.449164,-10.55
ADD,uint16_t,4,16384,64,252.398667,249.903374,-0.99
ADD,uint16_t,4,32768,16,142.393333,137.127345,-3.70
ADD,uint16_t,8,256,8,0.743333,0.665619,-10.45
ADD,uint16_t,8,256,16,1.184333,1.141673,-3.60
ADD,uint16_t,8,256,32,2.116333,2.076706,-1.87
ADD,uint16_t,8,256,64,4.065000,3.977709,-2.15
ADD,uint16_t,8,512,8,1.408333,1.262190,-10.38
ADD,uint16_t,8,256,128,7.675667,7.721935,0.60
ADD,uint16_t,8,256,256,15.100000,15.240587,0.93
ADD,uint16_t,8,512,16,2.307000,2.213741,-4.04
ADD,uint16_t,8,512,32,4.144333,4.082000,-1.50
ADD,uint16_t,8,512,64,8.066667,7.882274,-2.29
ADD,uint16_t,4,32768,32,260.699333,256.776112,-1.50
ADD,uint16_t,8,1024,8,2.767000,2.455336,-11.26
ADD,uint16_t,8,512,128,15.277000,15.366906,0.59
ADD,uint16_t,8,1024,16,4.563667,4.357879,-4.51
ADD,uint16_t,4,8192,256,480.473667,485.011865,0.94
ADD,uint16_t,8,512,256,30.123000,30.396108,0.91
ADD,uint16_t,8,1024,32,8.233333,8.092597,-1.71
ADD,uint16_t,8,1024,64,16.065667,15.691407,-2.33
ADD,uint16_t,8,2048,8,5.498333,4.841622,-11.94
ADD,uint16_t,8,1024,128,30.492667,30.656852,0.54
ADD,uint16_t,8,2048,16,9.099000,8.646149,-4.98
ADD,uint16_t,8,2048,32,16.367000,16.113782,-1.55
ADD,uint16_t,8,4096,8,10.905000,9.614193,-11.84
ADD,uint16_t,4,16384,128,486.497667,489.318846,0.58
ADD,uint16_t,8,1024,256,60.152000,60.707153,0.92
ADD,uint16_t,8,2048,64,32.075667,31.309669,-2.39
ADD,uint16_t,8,4096,16,18.084667,17.222689,-4.77
ADD,uint16_t,8,2048,128,60.936000,61.236738,0.49
ADD,uint16_t,8,4096,32,32.728667,32.156152,-1.75
ADD,uint16_t,8,8192,8,21.779333,19.159335,-12.03
ADD,uint16_t,8,4096,64,64.115333,62.546191,-2.45
ADD,uint16_t,8,8192,16,36.287000,34.375769,-5.27
ADD,uint16_t,4,32768,64,499.356000,499.738309,0.08
ADD,uint16_t,8,2048,256,120.189667,121.329237,0.95
ADD,uint16_t,8,8192,32,65.394000,64.240892,-1.76
ADD,uint16_t,8,4096,128,121.760000,122.396509,0.52
ADD,uint16_t,8,16384,8,43.510333,38.249619,-12.09
ADD,uint16_t,8,16384,16,72.501000,68.681929,-5.27
ADD,uint16_t,8,8192,64,127.852667,125.019236,-2.22
ADD,uint16_t,8,4096,256,240.284333,242.573406,0.95
ADD,uint16_t,8,16384,32,130.682667,128.410373,-1.74
ADD,uint16_t,8,32768,8,86.973333,76.430188,-12.12
ADD,uint16_t,16,256,8,1.178333,1.070453,-9.16
ADD,uint16_t,16,256,16,1.586333,1.438886,-9.29
ADD,uint16_t,16,256,32,2.897667,2.722713,-6.04
ADD,uint16_t,8,8192,128,243.460333,244.716052,0.52
ADD,uint16_t,8,32768,16,144.717333,137.294249,-5.13
ADD,uint16_t,16,256,64,5.537667,5.376802,-2.90
