operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,2048,64,40.268333,44.971351,11.68
ADD,uint16_t,4,4096,8,13.558000,14.543856,7.27
ADD,uint16_t,4,4096,16,23.510333,25.678390,9.22
ADD,uint16_t,4,2048,128,79.603000,87.971824,10.51
ADD,uint16_t,4,4096,32,42.760667,47.709894,11.57
ADD,uint16_t,4,8192,8,27.073000,29.018210,7.19
ADD,uint16_t,4,4096,64,80.372333,89.872380,11.82
ADD,uint16_t,2,16384,128,640.598000,703.247703,9.78
ADD,uint16_t,4,2048,256,155.130667,174.376432,12.41
ADD,uint16_t,4,8192,16,46.411000,51.293280,10.52
ADD,uint16_t,4,4096,128,160.200667,175.871342,9.78
ADD,uint16_t,4,8192,32,85.488000,95.351994,11.54
ADD,uint16_t,4,16384,8,54.076333,57.966917,7.19
ADD,uint16_t,4,8192,64,160.812667,179.674438,11.73
ADD,uint16_t,4,16384,16,93.287333,102.523061,9.90
ADD,uint16_t,4,4096,256,310.258333,348.677031,12.38
ADD,uint16_t,8,256,8,0.984000,1.000384,1.67
ADD,uint16_t,4,16384,32,170.858333,190.636194,11.58
ADD,uint16_t,8,256,16,1.555333,1.651169,6.16
ADD,uint16_t,8,256,32,2.741667,3.029082,10.48
ADD,uint16_t,8,256,64,5.147333,5.691770,10.58
ADD,uint16_t,4,8192,128,320.355333,351.670377,9.78
ADD,uint16_t,8,256,128,10.084333,11.072572,9.80
ADD,uint16_t,8,512,8,1.925000,1.929683,0.24
ADD,uint16_t,8,512,16,3.042333,3.229704,6.16
ADD,uint16_t,8,256,256,19.505000,21.885336,12.20
ADD,uint16_t,8,512,32,5.411000,5.984937,10.61
ADD,uint16_t,8,512,64,10.217000,11.305877,10.66
ADD,uint16_t,8,1024,8,3.786333,3.788250,0.05
ADD,uint16_t,8,512,128,20.086667,22.061414,9.83
ADD,uint16_t,4,16384,64,321.373667,359.278554,11.79
ADD,uint16_t,8,1024,16,6.028667,6.386777,5.94
ADD,uint16_t,8,1024,32,10.754333,11.896576,10.62
ADD,uint16_t,8,512,256,38.882667,43.673895,12.32
ADD,uint16_t,2,16384,256,1240.345667,1394.471113,12.43
ADD,uint16_t,8,1024,64,20.371667,22.534093,10.61
ADD,uint16_t,8,2048,8,7.503667,7.506259,0.03
ADD,uint16_t,8,2048,16,11.987667,12.700917,5.95
ADD,uint16_t,8,1024,128,39.847333,44.039101,10.52
ADD,uint16_t,8,2048,32,21.430000,23.719708,10.68
ADD,uint16_t,8,2048,64,40.675000,44.990520,10.61
ADD,uint16_t,8,4096,8,14.942000,14.943357,0.01
ADD,uint16_t,8,1024,256,77.663000,87.251014,12.35
ADD,uint16_t,8,4096,16,23.923333,25.329196,5.88
ADD,uint16_t,4,8192,256,620.303667,697.278228,12.41
ADD,uint16_t,8,2048,128,80.134667,87.994469,9.81
ADD,uint16_t,8,4096,32,42.827000,47.366114,10.60
ADD,uint16_t,8,8192,8,29.843667,29.817554,-0.09
ADD,uint16_t,8,4096,64,81.227667,89.903374,10.68
ADD,uint16_t,8,8192,16,47.755000,50.585756,5.93
ADD,uint16_t,8,2048,256,155.238667,174.405248,12.35
ADD,uint16_t,8,8192,32,85.593667,94.659779,10.59
ADD,uint16_t,4,16384,128,640.594667,703.268448,9.78
ADD,uint16_t,8,4096,128,160.216667,175.905205,9.79
ADD,uint16_t,8,16384,8,59.628000,59.565947,-0.10
ADD,uint16_t,8,8192,64,162.416333,179.729082,10.66
ADD,uint16_t,8,16384,16,95.496000,101.098875,5.87
ADD,uint16_t,16,256,8,1.676667,1.572352,-6.22
ADD,uint16_t,16,256,16,2.007333,2.110333,5.13
ADD,uint16_t,16,256,32,3.702667,3.654378,-1.30
ADD,uint16_t,16,256,64,7.076667,6.957600,-1.68
ADD,uint16_t,16,256,128,13.837000,13.690933,-1.06
ADD,uint16_t,16,512,8,3.274333,3.075701,-6.07
ADD,uint16_t,16,512,16,3.928000,4.146630,5.57
ADD,uint16_t,8,4096,256,310.382667,348.713716,12.35
ADD,uint16_t,8,16384,32,171.010667,189.247108,10.66
ADD,uint16_t,16,512,32,7.305667,7.212854,-1.27
ADD,uint16_t,16,256,256,27.389667,25.809906,-5.77
ADD,uint16_t,16,512,64,14.060000,13.810017,-1.78
ADD,uint16_t,16,1024,8,6.467667,6.082399,-5.96
ADD,uint16_t,16,1024,16,7.780000,8.219224,5.65
ADD,uint16_t,16,1024,32,14.536000,14.329805,-1.42
ADD,uint16_t,16,512,128,27.589000,27.254591,-1.21
ADD,uint16_t,16,1024,64,28.040000,27.514853,-1.87
ADD,uint16_t,16,2048,8,12.861000,12.095166,-5.95
ADD,uint16_t,16,512,256,54.639000,50.852026,-6.93
ADD,uint16_t,16,2048,16,15.469333,16.363960,5.78
ADD,uint16_t,8,8192,128,320.358667,351.726677,9.79
ADD,uint16_t,16,1024,128,55.088333,54.381909,-1.28
ADD,uint16_t,16,2048,32,28.959667,28.563709,-1.37
ADD,uint16_t,16,4096,8,25.627000,24.119631,-5.88
ADD,uint16_t,8,16384,64,324.935667,359.380498,10.60
ADD,uint16_t,16,2048,64,56.006667,54.924311,-1.93
ADD,uint16_t,16,4096,16,30.851000,32.652734,5.84
ADD,uint16_t,16,1024,256,109.195000,100.936266,-7.56
ADD,uint16_t,16,4096,32,57.884000,57.031513,-1.47
ADD,uint16_t,16,2048,128,110.064000,108.636548,-1.30
ADD,uint16_t,16,8192,8,51.188333,48.172842,-5.89
ADD,uint16_t,16,8192,16,61.602333,65.230723,5.89
ADD,uint16_t,16,4096,64,111.964000,109.742791,-1.98
ADD,uint16_t,16,2048,256,218.152000,201.085785,-7.82
ADD,uint16_t,16,8192,32,115.623667,113.967120,-1.43
ADD,uint16_t,16,16384,8,102.280667,96.280011,-5.87
ADD,uint32_t,1,256,8,0.889333,0.901378,1.35
ADD,uint32_t,1,256,16,1.518333,1.532967,0.96
ADD,uint32_t,1,256,32,2.747667,2.761255,0.49
ADD,uint32_t,1,256,64,5.221000,5.227486,0.12
