operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,32,4096,32,63.250333,62.801545,-0.71
MATVEC,uint32_t,1,32,4096,64,61.196333,61.076641,-0.20
MATVEC,uint32_t,1,32,4096,128,60.245333,60.212385,-0.05
MATVEC,uint32_t,1,32,4096,256,59.857333,59.825313,-0.05
MATVEC,uint32_t,1,32,8192,8,147.431667,145.281713,-1.46
MATVEC,uint32_t,1,32,8192,16,132.921333,132.679582,-0.18
MATVEC,uint32_t,1,32,8192,32,126.541667,125.512475,-0.81
MATVEC,uint32_t,1,32,8192,64,122.351667,122.062570,-0.24
MATVEC,uint32_t,1,32,8192,128,120.462333,120.334058,-0.11
MATVEC,uint32_t,1,32,8192,256,119.638667,119.559914,-0.07
MATVEC,uint32_t,1,64,16,8,0.669000,0.683910,2.23
MATVEC,uint32_t,1,64,16,16,0.613667,0.633698,3.26
MATVEC,uint32_t,1,64,32,8,1.241667,1.251060,0.76
MATVEC,uint32_t,1,64,32,16,1.123000,1.151622,2.55
MATVEC,uint32_t,1,64,32,32,1.073000,1.095077,2.06
MATVEC,uint32_t,1,64,64,8,2.396667,2.385360,-0.47
MATVEC,uint32_t,1,64,64,16,2.170333,2.187472,0.79
MATVEC,uint32_t,1,64,64,32,2.050667,2.074935,1.18
MATVEC,uint32_t,1,64,64,64,1.994333,2.020756,1.32
MATVEC,uint32_t,1,64,128,8,4.691000,4.653958,-0.79
MATVEC,uint32_t,1,64,128,16,4.238333,4.259170,0.49
MATVEC,uint32_t,1,64,128,32,4.041333,4.034652,-0.17
MATVEC,uint32_t,1,64,128,64,3.913667,3.926567,0.33
MATVEC,uint32_t,1,64,128,128,3.897333,3.872648,-0.63
MATVEC,uint32_t,1,64,256,8,9.299000,9.191156,-1.16
MATVEC,uint32_t,1,64,256,16,8.394333,8.402566,0.10
MATVEC,uint32_t,1,64,256,32,8.030667,7.954085,-0.95
MATVEC,uint32_t,1,64,256,64,7.729667,7.738187,0.11
MATVEC,uint32_t,1,64,256,128,7.619333,7.630252,0.14
MATVEC,uint32_t,1,64,256,256,7.561000,7.581868,0.28
MATVEC,uint32_t,1,64,512,8,18.497667,18.265552,-1.25
MATVEC,uint32_t,1,64,512,16,16.694667,16.689360,-0.03
MATVEC,uint32_t,1,64,512,32,15.890333,15.792951,-0.61
MATVEC,uint32_t,1,64,512,64,15.372333,15.361428,-0.07
MATVEC,uint32_t,1,64,512,128,15.139333,15.145462,0.04
MATVEC,uint32_t,1,64,512,256,15.049333,15.048694,-0.00
MATVEC,uint32_t,1,64,1024,8,36.927667,36.414342,-1.39
MATVEC,uint32_t,1,64,1024,16,33.300667,33.262946,-0.11
MATVEC,uint32_t,1,64,1024,32,31.739000,31.470684,-0.85
MATVEC,uint32_t,1,64,1024,64,30.654667,30.607911,-0.15
MATVEC,uint32_t,1,64,1024,128,30.192333,30.175880,-0.05
MATVEC,uint32_t,1,64,1024,256,29.984000,29.982344,-0.01
MATVEC,uint32_t,1,64,2048,8,73.755000,72.711924,-1.41
MATVEC,uint32_t,1,64,2048,16,66.509667,66.410118,-0.15
MATVEC,uint32_t,1,64,2048,32,63.319000,62.826149,-0.78
MATVEC,uint32_t,1,64,2048,64,61.216667,61.100875,-0.19
MATVEC,uint32_t,1,64,2048,128,60.287000,60.236716,-0.08
MATVEC,uint32_t,1,64,2048,256,59.884333,59.849644,-0.06
MATVEC,uint32_t,1,64,4096,8,147.419333,145.307088,-1.43
MATVEC,uint32_t,1,64,4096,16,132.921000,132.704464,-0.16
MATVEC,uint32_t,1,64,4096,32,126.534000,125.537079,-0.79
MATVEC,uint32_t,1,64,4096,64,122.366667,122.086804,-0.23
MATVEC,uint32_t,1,64,4096,128,120.454667,120.358390,-0.08
MATVEC,uint32_t,1,64,4096,256,119.646333,119.584246,-0.05
MATVEC,uint32_t,1,64,8192,8,294.809000,290.497414,-1.46
MATVEC,uint32_t,1,64,8192,16,265.713000,265.293154,-0.16
MATVEC,uint32_t,1,64,8192,32,252.955667,250.958940,-0.79
MATVEC,uint32_t,1,64,8192,64,244.582667,244.058663,-0.21
MATVEC,uint32_t,1,64,8192,128,240.850000,240.601736,-0.10
MATVEC,uint32_t,1,64,8192,256,239.253333,239.053448,-0.08
MATVEC,uint32_t,1,128,16,8,1.353333,1.301810,-3.81
MATVEC,uint32_t,1,128,16,16,1.176333,1.201385,2.13
MATVEC,uint32_t,1,128,32,8,2.445333,2.436109,-0.38
MATVEC,uint32_t,1,128,32,16,2.215667,2.237234,0.97
MATVEC,uint32_t,1,128,32,32,2.113333,2.124142,0.51
MATVEC,uint32_t,1,128,64,8,4.752333,4.704708,-1.00
MATVEC,uint32_t,1,128,64,16,4.293333,4.308932,0.36
