operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,16,128,128,128,143.267667,134.632493,-6.03
MATMUL,uint32_t,1,16,128,256,8,325.598667,297.221476,-8.72
MATMUL,uint32_t,1,16,128,256,4,380.997333,334.660818,-12.16
MATMUL,uint32_t,1,16,128,256,64,288.786000,270.991734,-6.16
MATMUL,uint32_t,1,16,128,256,128,286.370333,269.196461,-6.00
MATMUL,uint32_t,1,16,128,256,32,293.246000,274.638363,-6.35
MATMUL,uint32_t,1,16,128,256,16,303.031333,282.466806,-6.79
MATMUL,uint32_t,1,16,256,16,4,47.507333,41.837961,-11.93
MATMUL,uint32_t,1,16,256,16,8,40.685000,37.168548,-8.64
MATMUL,uint32_t,1,16,256,16,16,37.883000,35.329170,-6.74
MATMUL,uint32_t,1,16,256,32,4,94.908333,83.607396,-11.91
MATMUL,uint32_t,1,16,256,32,8,81.293333,74.268571,-8.64
MATMUL,uint32_t,1,16,256,32,16,75.718333,70.589814,-6.77
MATMUL,uint32_t,1,16,128,512,8,651.189333,594.374427,-8.72
MATMUL,uint32_t,1,16,256,32,32,73.309667,68.638148,-6.37
MATMUL,uint32_t,1,16,128,512,4,760.746000,669.253110,-12.03
MATMUL,uint32_t,1,16,128,512,16,605.819667,564.865088,-6.76
MATMUL,uint32_t,1,16,128,512,32,586.602000,549.208201,-6.37
MATMUL,uint32_t,1,16,256,64,8,162.547667,148.468617,-8.66
MATMUL,uint32_t,1,16,128,512,128,572.660000,538.324397,-6.00
MATMUL,uint32_t,1,16,128,512,64,577.531667,541.914944,-6.17
MATMUL,uint32_t,1,16,256,64,4,190.212333,167.146267,-12.13
MATMUL,uint32_t,1,16,256,64,16,151.354000,141.111104,-6.77
MATMUL,uint32_t,1,16,256,64,32,146.569667,137.207771,-6.39
MATMUL,uint32_t,1,16,256,64,64,144.325333,135.389819,-6.19
MATMUL,uint32_t,1,16,256,128,32,292.890000,274.347017,-6.33
MATMUL,uint32_t,1,16,256,128,16,302.586000,282.153682,-6.75
MATMUL,uint32_t,1,16,256,128,64,288.524333,270.711113,-6.17
MATMUL,uint32_t,1,16,256,128,8,325.045000,296.868708,-8.67
MATMUL,uint32_t,1,16,256,128,4,379.464000,334.224009,-11.92
MATMUL,uint32_t,1,16,256,128,128,286.159667,268.921101,-6.02
MATMUL,uint32_t,1,16,256,256,8,649.925667,593.668891,-8.66
MATMUL,uint32_t,1,16,256,256,4,759.346333,668.379492,-11.98
MATMUL,uint32_t,1,16,256,256,32,585.876333,548.625508,-6.36
MATMUL,uint32_t,1,16,256,256,64,577.032000,541.353700,-6.18
MATMUL,uint32_t,1,16,256,256,128,572.181000,537.773677,-6.01
MATMUL,uint32_t,1,16,256,256,256,570.010333,536.180950,-5.93
MATMUL,uint32_t,1,16,256,256,16,605.221000,564.238838,-6.77
MATMUL,uint32_t,1,16,512,16,4,94.819333,83.552795,-11.88
MATMUL,uint32_t,1,16,512,16,8,81.234667,74.224475,-8.63
MATMUL,uint32_t,1,16,512,16,16,75.663667,70.550674,-6.76
MATMUL,uint32_t,1,16,512,32,4,189.676000,167.037065,-11.94
MATMUL,uint32_t,1,16,512,32,8,162.381333,148.380425,-8.62
MATMUL,uint32_t,1,16,256,512,4,1518.017000,1336.690459,-11.94
MATMUL,uint32_t,1,16,512,32,16,151.213000,141.032822,-6.73
MATMUL,uint32_t,1,16,256,512,16,1210.210000,1128.409152,-6.76
MATMUL,uint32_t,1,16,512,32,32,146.445667,137.134934,-6.36
MATMUL,uint32_t,1,16,256,512,8,1299.644667,1187.269257,-8.65
