operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,512,64,11.226667,11.150333,-0.68
ADD,uint16_t,4,512,128,21.848000,21.828556,-0.09
ADD,uint16_t,4,1024,8,3.850667,3.581244,-7.00
ADD,uint16_t,4,1024,16,6.605667,6.137721,-7.08
ADD,uint16_t,4,512,256,43.078000,43.226954,0.35
ADD,uint16_t,4,1024,32,11.804000,11.493426,-2.63
ADD,uint16_t,4,1024,64,22.425667,22.229737,-0.87
ADD,uint16_t,4,1024,128,43.635333,43.584888,-0.12
ADD,uint16_t,4,2048,8,7.639000,7.093174,-7.15
ADD,uint16_t,4,2048,16,13.184000,12.205547,-7.42
ADD,uint16_t,2,32768,64,714.623000,709.129636,-0.77
ADD,uint16_t,4,1024,256,86.071667,86.378872,0.36
ADD,uint16_t,4,2048,32,23.570000,22.916690,-2.77
ADD,uint16_t,4,2048,64,44.752333,44.388545,-0.81
ADD,uint16_t,4,4096,8,15.212000,14.117033,-7.20
ADD,uint16_t,4,2048,128,87.199667,87.097550,-0.12
ADD,uint16_t,4,4096,16,26.296667,24.341197,-7.44
ADD,uint16_t,4,4096,32,47.066333,45.763218,-2.77
ADD,uint16_t,4,2048,256,172.034667,172.682708,0.38
ADD,uint16_t,4,4096,64,89.488000,88.706160,-0.87
ADD,uint16_t,4,8192,8,30.379667,28.164752,-7.29
ADD,uint16_t,4,4096,128,174.317333,174.122876,-0.11
ADD,uint16_t,4,8192,16,52.529000,48.612505,-7.46
ADD,uint16_t,1,32768,256,2750.393000,2737.121263,-0.48
ADD,uint16_t,2,16384,256,1375.294000,1380.906983,0.41
ADD,uint16_t,4,8192,32,94.078333,91.456275,-2.79
ADD,uint16_t,4,16384,8,60.699667,56.260188,-7.31
ADD,uint16_t,4,4096,256,344.006667,345.290380,0.37
ADD,uint16_t,4,16384,16,105.006000,97.155115,-7.48
ADD,uint16_t,4,8192,64,178.805333,177.341391,-0.82
ADD,uint16_t,2,32768,128,1393.743333,1392.429219,-0.09
ADD,uint16_t,4,16384,32,188.040000,182.842388,-2.76
ADD,uint16_t,4,8192,128,348.500333,348.173527,-0.09
ADD,uint16_t,4,32768,8,121.348000,112.451062,-7.33
ADD,uint16_t,4,32768,16,209.928333,194.240336,-7.47
ADD,uint16_t,4,16384,64,357.649000,354.611853,-0.85
ADD,uint16_t,4,8192,256,687.871333,690.505724,0.38
ADD,uint16_t,8,256,8,1.037333,0.952548,-8.17
ADD,uint16_t,4,32768,32,376.068000,365.614615,-2.78
ADD,uint16_t,8,256,16,1.713667,1.593642,-7.00
ADD,uint16_t,8,256,32,3.016000,2.933581,-2.73
ADD,uint16_t,8,256,64,5.659000,5.618872,-0.71
ADD,uint16_t,8,256,128,10.960000,10.960867,0.01
ADD,uint16_t,8,512,8,2.033000,1.830987,-9.94
ADD,uint16_t,8,256,256,21.600667,21.667540,0.31
ADD,uint16_t,8,512,16,3.361667,3.111764,-7.43
ADD,uint16_t,8,512,32,5.963333,5.789867,-2.91
ADD,uint16_t,4,16384,128,696.918333,696.274829,-0.09
ADD,uint16_t,8,512,64,11.262000,11.159374,-0.91
ADD,uint16_t,8,1024,8,4.021667,3.587867,-10.79
ADD,uint16_t,8,512,128,21.865333,21.839794,-0.12
ADD,uint16_t,8,1024,16,6.676667,6.148011,-7.92
ADD,uint16_t,8,512,256,43.109333,43.244513,0.31
ADD,uint16_t,8,1024,32,11.861333,11.502442,-3.03
ADD,uint16_t,8,1024,64,22.453667,22.240381,-0.95
ADD,uint16_t,8,2048,8,7.988667,7.101622,-11.10
ADD,uint16_t,8,1024,128,43.656667,43.597651,-0.14
ADD,uint16_t,8,2048,16,13.281667,12.220499,-7.99
ADD,uint16_t,8,2048,32,23.661333,22.927587,-3.10
ADD,uint16_t,4,32768,64,715.100000,709.152776,-0.83
ADD,uint16_t,8,1024,256,86.122333,86.398462,0.32
ADD,uint16_t,8,2048,64,44.830333,44.402388,-0.95
ADD,uint16_t,8,4096,8,15.933000,14.129132,-11.32
ADD,uint16_t,8,4096,16,26.502333,24.365475,-8.06
ADD,uint16_t,8,2048,128,87.261000,87.113359,-0.17
ADD,uint16_t,8,4096,32,47.289667,45.777875,-3.20
ADD,uint16_t,8,8192,8,31.799333,28.184151,-11.37
ADD,uint16_t,8,4096,64,89.615667,88.726403,-0.99
ADD,uint16_t,8,2048,256,172.097667,172.706353,0.35
ADD,uint16_t,8,8192,16,52.925333,48.655428,-8.07
ADD,uint16_t,2,32768,256,2750.599667,2761.745822,0.41
ADD,uint16_t,8,4096,128,174.360000,174.144774,-0.12
ADD,uint16_t,8,8192,32,94.469667,91.478452,-3.17
ADD,uint16_t,4,16384,256,1375.386000,1380.936412,0.40
ADD,uint16_t,8,16384,8,63.551667,56.294190,-11.42
ADD,uint16_t,8,8192,64,179.096000,177.374434,-0.96
ADD,uint16_t,8,16384,16,105.824667,97.235333,-8.12
ADD,uint16_t,8,4096,256,344.114333,345.322137,0.35
ADD,uint16_t,8,16384,32,188.838667,182.879606,-3.16
ADD,uint16_t,8,32768,8,127.041333,112.514267,-11.43
ADD,uint16_t,8,8192,128,348.656000,348.207605,-0.13
ADD,uint16_t,4,32768,128,1393.922667,1392.477433,-0.10
ADD,uint16_t,16,256,8,1.816667,1.583214,-12.85
ADD,uint16_t,8,16384,64,358.080333,354.670495,-0.95
ADD,uint16_t,16,256,16,2.252333,2.237631,-0.65
ADD,uint16_t,8,32768,16,211.548000,194.395144,-8.11
ADD,uint16_t,16,256,32,4.132667,3.897711,-5.69
ADD,uint16_t,16,256,64,7.883333,7.626791,-3.25
ADD,uint16_t,16,256,128,15.396000,15.085006,-2.02
ADD,uint16_t,16,512,8,3.346667,3.086563,-7.77
ADD,uint16_t,16,512,16,4.427333,4.386948,-0.91
ADD,uint16_t,16,256,256,30.437333,29.974289,-1.52
ADD,uint16_t,16,512,32,8.183333,7.692901,-5.99
ADD,uint16_t,16,512,64,15.696000,15.147190,-3.50
ADD,uint16_t,16,512,128,30.710333,30.052142,-2.14
ADD,uint16_t,16,1024,8,6.417667,6.093261,-5.05
ADD,uint16_t,16,1024,16,8.781667,8.685580,-1.09
ADD,uint16_t,16,512,256,60.739667,59.773693,-1.59
ADD,uint16_t,16,1024,32,16.301333,15.283281,-6.25
ADD,uint16_t,8,8192,256,688.113000,690.553704,0.35
