data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,4,8192,64,118.666000,120.591682,1.62
uint16_t,4,16384,16,71.980667,70.612055,-1.90
uint16_t,4,4096,256,224.708000,228.019863,1.47
uint16_t,4,16384,32,128.188333,128.461507,0.21
uint16_t,8,256,8,0.878000,0.841276,-4.18
uint16_t,4,8192,128,228.981667,232.155413,1.39
uint16_t,8,256,32,2.060000,2.079685,0.96
uint16_t,8,256,16,1.228333,1.212241,-1.31
uint16_t,8,256,64,3.796000,3.765373,-0.81
uint16_t,8,512,8,1.685000,1.613109,-4.27
uint16_t,8,256,128,7.269333,7.329570,0.83
uint16_t,8,256,256,14.161667,14.330945,1.20
uint16_t,8,512,16,2.362667,2.353015,-0.41
uint16_t,2,16384,256,898.645667,911.849780,1.47
uint16_t,8,512,32,4.067333,4.086502,0.47
uint16_t,8,512,64,7.521333,7.454845,-0.88
uint16_t,8,1024,8,3.333000,3.156595,-5.29
uint16_t,8,512,128,14.397000,14.583330,1.29
uint16_t,8,1024,16,4.664667,4.634469,-0.65
uint16_t,4,16384,64,237.282333,241.115015,1.62
uint16_t,8,1024,32,8.072667,8.100140,0.34
uint16_t,8,512,256,28.200333,28.579411,1.34
uint16_t,8,1024,64,14.996333,14.833792,-1.08
uint16_t,8,2048,8,6.598667,6.243198,-5.39
uint16_t,8,2048,16,9.254000,9.197173,-0.61
uint16_t,8,1024,128,28.710000,29.090853,1.33
uint16_t,8,2048,32,16.090667,16.127410,0.23
uint16_t,4,8192,256,449.496000,455.967922,1.44
uint16_t,8,1024,256,56.287333,57.076348,1.40
uint16_t,8,4096,8,13.120333,12.416800,-5.36
uint16_t,8,2048,64,29.865333,29.591680,-0.92
uint16_t,8,4096,16,18.457667,18.322583,-0.73
uint16_t,8,2048,128,57.362000,58.105894,1.30
uint16_t,8,4096,32,32.106000,32.181949,0.24
uint16_t,8,8192,8,26.193333,24.766123,-5.45
uint16_t,8,4096,64,59.660333,59.107456,-0.93
uint16_t,8,8192,16,36.848667,36.574647,-0.74
uint16_t,8,2048,256,112.475000,114.070214,1.42
uint16_t,4,16384,128,457.798667,464.241504,1.41
uint16_t,8,8192,32,64.139667,64.291027,0.24
uint16_t,8,4096,128,114.639333,116.135975,1.31
uint16_t,8,16384,8,52.297333,49.464769,-5.42
uint16_t,8,16384,16,73.619000,73.079109,-0.73
uint16_t,8,8192,64,119.195667,118.139008,-0.89
uint16_t,16,256,8,1.695667,1.569934,-7.41
uint16_t,16,256,16,1.709667,1.927125,12.72
uint16_t,16,256,32,2.789000,2.682637,-3.81
uint16_t,16,256,64,5.228333,5.105198,-2.36
uint16_t,8,4096,256,224.899667,228.057948,1.40
uint16_t,16,256,128,10.115667,9.946686,-1.67
uint16_t,16,512,8,2.940000,3.073283,4.53
uint16_t,8,16384,32,128.229333,128.509184,0.22
uint16_t,16,512,16,3.353000,3.785773,12.91
