data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,4,16384,8,45.088000,39.866446,-11.58
uint16_t,4,8192,64,118.666000,118.273175,-0.33
uint16_t,4,16384,16,71.980667,68.140783,-5.33
uint16_t,4,4096,256,224.708000,226.861626,0.96
uint16_t,4,16384,32,128.188333,123.833862,-3.40
uint16_t,8,256,8,0.878000,0.819438,-6.67
uint16_t,4,8192,128,228.981667,229.838593,0.37
uint16_t,8,256,32,2.060000,2.006515,-2.60
uint16_t,8,256,16,1.228333,1.144351,-6.84
uint16_t,8,256,64,3.796000,3.768103,-0.73
uint16_t,8,512,8,1.685000,1.571113,-6.76
uint16_t,8,256,128,7.269333,7.257581,-0.16
uint16_t,8,256,256,14.161667,14.258850,0.69
uint16_t,8,512,16,2.362667,2.217291,-6.15
uint16_t,2,16384,256,898.645667,907.215448,0.95
uint16_t,8,512,32,4.067333,3.941106,-3.10
uint16_t,8,512,64,7.521333,7.462684,-0.78
uint16_t,8,1024,8,3.333000,3.074267,-7.76
uint16_t,8,512,128,14.397000,14.438960,0.29
uint16_t,8,1024,16,4.664667,4.363153,-6.46
uint16_t,4,16384,64,237.282333,236.477783,-0.34
uint16_t,8,1024,32,8.072667,7.810290,-3.25
uint16_t,8,512,256,28.200333,28.434468,0.83
uint16_t,8,1024,64,14.996333,14.851850,-0.96
uint16_t,8,2048,8,6.598667,6.080180,-7.86
uint16_t,8,2048,16,9.254000,8.654829,-6.47
uint16_t,8,1024,128,28.710000,28.801722,0.32
uint16_t,8,2048,32,16.090667,15.548652,-3.37
uint16_t,4,8192,256,449.496000,453.651102,0.92
uint16_t,8,1024,256,56.287333,56.785706,0.89
uint16_t,8,4096,8,13.120333,12.092776,-7.83
uint16_t,8,2048,64,29.865333,29.630174,-0.79
uint16_t,8,4096,16,18.457667,17.238181,-6.61
uint16_t,8,2048,128,57.362000,57.527240,0.29
uint16_t,8,4096,32,32.106000,31.025377,-3.37
uint16_t,8,8192,8,26.193333,24.119568,-7.92
uint16_t,8,4096,64,59.660333,59.186823,-0.79
uint16_t,8,8192,16,36.848667,34.404885,-6.63
uint16_t,8,2048,256,112.475000,113.488178,0.90
uint16_t,4,16384,128,457.798667,459.607519,0.40
uint16_t,8,8192,32,64.139667,61.978826,-3.37
uint16_t,8,4096,128,114.639333,114.978276,0.30
uint16_t,8,16384,8,52.297333,48.173152,-7.89
uint16_t,8,16384,16,73.619000,68.738294,-6.63
uint16_t,8,8192,64,119.195667,118.300121,-0.75
uint16_t,16,256,8,1.695667,1.569594,-7.43
uint16_t,16,256,16,1.709667,1.926765,12.70
uint16_t,16,256,32,2.789000,2.625200,-5.87
uint16_t,16,256,64,5.228333,4.996328,-4.44
uint16_t,8,4096,256,224.899667,226.893122,0.89
uint16_t,16,256,128,10.115667,9.882642,-2.30
uint16_t,16,512,8,2.940000,3.072943,4.52
uint16_t,8,16384,32,128.229333,123.885725,-3.39
uint16_t,16,512,16,3.353000,3.785413,12.90
uint16_t,16,256,256,19.877000,19.545101,-1.67
uint16_t,16,512,32,5.487333,5.167038,-5.84
uint16_t,16,512,64,10.364000,9.895623,-4.52
uint16_t,16,1024,8,5.797333,6.079641,4.87
uint16_t,16,1024,16,6.605667,7.502709,13.58
uint16_t,16,1024,32,10.902000,10.250714,-5.97
uint16_t,16,512,128,20.138333,19.664899,-2.35
uint16_t,8,8192,128,229.150000,229.880347,0.32
uint16_t,16,512,256,39.668000,38.976442,-1.74
uint16_t,16,1024,64,20.659000,19.694213,-4.67
uint16_t,16,2048,8,11.523667,12.091858,4.93
uint16_t,16,2048,16,13.171667,14.935916,13.39
uint16_t,16,1024,128,40.202667,39.229411,-2.42
uint16_t,16,2048,32,21.721333,20.418014,-6.00
uint16_t,8,16384,64,238.315667,236.526716,-0.75
uint16_t,16,4096,8,22.979000,24.117141,4.95
uint16_t,16,2048,64,41.234333,39.291396,-4.71
uint16_t,16,1024,256,79.218333,77.839123,-1.74
uint16_t,16,4096,16,26.251000,29.802831,13.53
uint16_t,16,4096,32,43.354667,40.752500,-6.00
uint16_t,16,2048,128,80.273667,78.358440,-2.39
uint16_t,16,8192,8,45.888333,48.170725,4.97
uint16_t,16,8192,16,52.396667,59.541195,13.64
uint16_t,16,4096,64,82.375333,78.485757,-4.72
uint16_t,16,2048,256,158.310333,155.564489,-1.73
uint16_t,16,8192,32,86.625667,81.421471,-6.01
uint16_t,16,16384,8,91.705333,96.277894,4.99
uint16_t,16,4096,128,160.461333,156.616491,-2.40
uint32_t,1,256,16,1.083000,1.013214,-6.44
uint32_t,1,256,8,0.673000,0.625045,-7.13
uint32_t,1,256,32,1.815333,1.768194,-2.60
uint32_t,1,256,64,3.340667,3.283641,-1.71
uint16_t,16,16384,16,104.718333,119.017924,13.66
uint32_t,1,256,128,6.367333,6.315925,-0.81
uint32_t,1,512,8,1.309333,1.184076,-9.57
uint32_t,1,256,256,12.439667,12.401776,-0.30
uint32_t,1,512,16,2.111000,1.960414,-7.13
uint32_t,1,512,32,3.596000,3.470375,-3.49
uint32_t,1,512,64,6.625000,6.501269,-1.87
uint16_t,16,8192,64,164.679667,156.874479,-4.74
uint32_t,1,1024,8,2.571333,2.302137,-10.47
uint32_t,1,512,128,12.697333,12.565836,-1.04
uint32_t,1,1024,16,4.061333,3.854814,-5.09
uint32_t,1,1024,32,7.159333,6.874736,-3.98
uint32_t,1,512,256,24.830000,24.737538,-0.37
uint32_t,1,1024,64,13.225000,12.936524,-2.18
uint32_t,1,2048,8,5.089000,4.538261,-10.82
uint32_t,1,2048,16,8.064333,7.643614,-5.22
uint32_t,1,1024,128,25.339000,25.065657,-1.08
uint32_t,1,2048,32,14.233333,13.683458,-3.86
uint16_t,16,16384,32,173.119667,162.759970,-5.98
uint32_t,1,2048,64,26.372333,25.807033,-2.14
uint32_t,1,1024,256,49.582333,49.409063,-0.35
uint32_t,1,4096,8,10.115000,9.010508,-10.92
uint32_t,1,4096,16,16.080667,15.221214,-5.34
uint32_t,1,2048,128,50.599333,50.065301,-1.06
uint32_t,1,4096,32,28.428667,27.300903,-3.97
uint32_t,1,8192,8,20.179000,17.955001,-11.02
uint32_t,1,4096,64,52.675333,51.548053,-2.14
uint32_t,1,8192,16,32.113667,30.376414,-5.41
uint32_t,1,2048,256,99.119667,98.752112,-0.37
uint32_t,1,8192,32,56.782667,54.535792,-3.96
uint32_t,1,4096,128,101.174333,100.064588,-1.10
uint32_t,1,16384,8,40.358000,35.843989,-11.18
uint32_t,1,8192,64,105.270000,103.030092,-2.13
uint32_t,1,16384,16,64.176333,60.686814,-5.44
uint32_t,1,4096,256,198.133667,197.438210,-0.35
uint32_t,2,256,8,0.710000,0.646896,-8.89
uint32_t,2,256,16,1.057333,1.034299,-2.18
uint32_t,2,256,32,1.857667,1.828806,-1.55
uint32_t,1,16384,32,113.508333,109.005570,-3.97
uint32_t,1,8192,128,202.247667,200.063161,-1.08
uint32_t,2,256,64,3.338333,3.384207,1.37
uint32_t,2,256,128,6.379000,6.516458,2.15
uint32_t,2,256,256,12.461667,12.676172,1.72
uint32_t,2,512,8,1.341000,1.227650,-8.45
uint32_t,2,512,16,2.062000,2.002462,-2.89
uint32_t,2,512,32,3.640667,3.591476,-1.35
uint32_t,1,16384,64,210.492333,205.994169,-2.14
uint32_t,2,512,64,6.656000,6.702278,0.70
uint32_t,2,512,128,12.693333,12.966781,2.15
uint32_t,2,1024,8,2.632333,2.389159,-9.24
uint32_t,2,512,256,24.843667,25.286585,1.78
uint32_t,2,1024,16,4.072667,3.938787,-3.29
uint32_t,2,1024,32,7.203667,7.116815,-1.21
uint32_t,2,1024,64,13.365333,13.338420,-0.20
uint32_t,2,2048,8,5.340667,4.712176,-11.77
uint32_t,2,2048,16,8.098667,7.811438,-3.55
uint32_t,2,1024,128,25.338667,25.867425,2.09
uint32_t,1,8192,256,396.234000,394.810407,-0.36
uint32_t,2,2048,32,14.324333,14.167494,-1.09
uint32_t,2,1024,256,49.600667,50.507413,1.83
uint32_t,2,2048,64,26.372667,26.610703,0.90
uint32_t,2,4096,8,10.580667,9.358210,-11.55
uint32_t,2,4096,16,16.098667,15.556740,-3.37
uint32_t,1,16384,128,404.486333,400.060309,-1.09
uint32_t,2,2048,128,50.616333,51.668714,2.08
uint32_t,2,4096,32,28.516000,28.268852,-0.87
uint32_t,2,4096,64,52.687000,53.155270,0.89
uint32_t,2,2048,256,99.145000,100.949068,1.82
uint32_t,2,8192,8,20.756000,18.650279,-10.15
uint32_t,2,8192,16,32.145333,31.047344,-3.42
uint32_t,2,8192,32,56.914667,56.471567,-0.78
uint32_t,2,4096,128,101.174667,103.271293,2.07
uint32_t,2,16384,8,41.463667,37.234416,-10.20
uint32_t,2,8192,64,105.300333,106.244404,0.90
uint32_t,2,16384,16,64.215000,62.028552,-3.40
uint32_t,2,4096,256,198.202667,201.832377,1.83
