operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,32,4096,16,66.496667,63.535305,-4.45
MATVEC,uint32_t,1,32,4096,32,63.250333,61.367936,-2.98
MATVEC,uint32_t,1,32,4096,64,61.196333,60.350957,-1.38
MATVEC,uint32_t,1,32,4096,128,60.245333,59.840713,-0.67
MATVEC,uint32_t,1,32,4096,256,59.857333,59.630646,-0.38
MATVEC,uint32_t,1,32,8192,8,147.431667,133.935012,-9.15
MATVEC,uint32_t,1,32,8192,16,132.921333,126.997558,-4.46
MATVEC,uint32_t,1,32,8192,32,126.541667,122.662820,-3.07
MATVEC,uint32_t,1,32,8192,64,122.351667,120.628864,-1.41
MATVEC,uint32_t,1,32,8192,128,120.462333,119.608374,-0.71
MATVEC,uint32_t,1,32,8192,256,119.638667,119.188242,-0.38
MATVEC,uint32_t,1,64,16,8,0.669000,0.602989,-9.87
MATVEC,uint32_t,1,64,16,16,0.613667,0.575890,-6.16
MATVEC,uint32_t,1,64,32,8,1.241667,1.125888,-9.32
MATVEC,uint32_t,1,64,32,16,1.123000,1.071689,-4.57
MATVEC,uint32_t,1,64,32,32,1.073000,1.037824,-3.28
MATVEC,uint32_t,1,64,64,8,2.396667,2.171684,-9.39
MATVEC,uint32_t,1,64,64,16,2.170333,2.063286,-4.93
MATVEC,uint32_t,1,64,64,32,2.050667,1.995556,-2.69
MATVEC,uint32_t,1,64,64,64,1.994333,1.963776,-1.53
MATVEC,uint32_t,1,64,128,8,4.691000,4.263277,-9.12
MATVEC,uint32_t,1,64,128,16,4.238333,4.046482,-4.53
MATVEC,uint32_t,1,64,128,32,4.041333,3.911021,-3.22
MATVEC,uint32_t,1,64,128,64,3.913667,3.847460,-1.69
MATVEC,uint32_t,1,64,128,128,3.897333,3.815570,-2.10
MATVEC,uint32_t,1,64,256,8,9.299000,8.446464,-9.17
MATVEC,uint32_t,1,64,256,16,8.394333,8.012873,-4.54
MATVEC,uint32_t,1,64,256,32,8.030667,7.741952,-3.60
MATVEC,uint32_t,1,64,256,64,7.729667,7.614829,-1.49
MATVEC,uint32_t,1,64,256,128,7.619333,7.551049,-0.90
MATVEC,uint32_t,1,64,256,256,7.561000,7.524790,-0.48
MATVEC,uint32_t,1,64,512,8,18.497667,16.812836,-9.11
MATVEC,uint32_t,1,64,512,16,16.694667,15.945654,-4.49
MATVEC,uint32_t,1,64,512,32,15.890333,15.403812,-3.06
MATVEC,uint32_t,1,64,512,64,15.372333,15.149568,-1.45
MATVEC,uint32_t,1,64,512,128,15.139333,15.022006,-0.77
MATVEC,uint32_t,1,64,512,256,15.049333,14.969490,-0.53
MATVEC,uint32_t,1,64,1024,8,36.927667,33.545581,-9.16
MATVEC,uint32_t,1,64,1024,16,33.300667,31.811218,-4.47
MATVEC,uint32_t,1,64,1024,32,31.739000,30.727533,-3.19
MATVEC,uint32_t,1,64,1024,64,30.654667,30.219044,-1.42
MATVEC,uint32_t,1,64,1024,128,30.192333,29.963922,-0.76
MATVEC,uint32_t,1,64,1024,256,29.984000,29.858889,-0.42
MATVEC,uint32_t,1,64,2048,8,73.755000,67.011072,-9.14
MATVEC,uint32_t,1,64,2048,16,66.509667,63.542345,-4.46
MATVEC,uint32_t,1,64,2048,32,63.319000,61.374976,-3.07
MATVEC,uint32_t,1,64,2048,64,61.216667,60.357997,-1.40
MATVEC,uint32_t,1,64,2048,128,60.287000,59.847753,-0.73
MATVEC,uint32_t,1,64,2048,256,59.884333,59.637686,-0.41
MATVEC,uint32_t,1,64,4096,8,147.419333,133.942052,-9.14
MATVEC,uint32_t,1,64,4096,16,132.921000,127.004598,-4.45
MATVEC,uint32_t,1,64,4096,32,126.534000,122.669860,-3.05
MATVEC,uint32_t,1,64,4096,64,122.366667,120.635904,-1.41
MATVEC,uint32_t,1,64,4096,128,120.454667,119.615414,-0.70
MATVEC,uint32_t,1,64,4096,256,119.646333,119.195282,-0.38
MATVEC,uint32_t,1,64,8192,8,294.809000,267.804013,-9.16
MATVEC,uint32_t,1,64,8192,16,265.713000,253.929106,-4.43
MATVEC,uint32_t,1,64,8192,32,252.955667,245.259629,-3.04
MATVEC,uint32_t,1,64,8192,64,244.582667,241.191716,-1.39
MATVEC,uint32_t,1,64,8192,128,240.850000,239.150738,-0.71
MATVEC,uint32_t,1,64,8192,256,239.253333,238.310473,-0.39
MATVEC,uint32_t,1,128,16,8,1.353333,1.139970,-15.77
MATVEC,uint32_t,1,128,16,16,1.176333,1.085772,-7.70
MATVEC,uint32_t,1,128,32,8,2.445333,2.185767,-10.61
MATVEC,uint32_t,1,128,32,16,2.215667,2.077369,-6.24
MATVEC,uint32_t,1,128,32,32,2.113333,2.009639,-4.91
MATVEC,uint32_t,1,128,64,8,4.752333,4.277360,-9.99
MATVEC,uint32_t,1,128,64,16,4.293333,4.060565,-5.42
MATVEC,uint32_t,1,128,64,32,4.066000,3.925104,-3.47
MATVEC,uint32_t,1,128,64,64,3.959000,3.861543,-2.46
MATVEC,uint32_t,1,128,128,8,9.352667,8.460546,-9.54
MATVEC,uint32_t,1,128,128,16,8.441667,8.026956,-4.91
MATVEC,uint32_t,1,128,128,32,8.048000,7.756034,-3.63
MATVEC,uint32_t,1,128,128,64,7.795000,7.628912,-2.13
MATVEC,uint32_t,1,128,128,128,7.666000,7.565132,-1.32
MATVEC,uint32_t,1,128,256,8,18.552333,16.826919,-9.30
MATVEC,uint32_t,1,128,256,16,16.734667,15.959737,-4.63
MATVEC,uint32_t,1,128,256,32,16.005333,15.417895,-3.67
MATVEC,uint32_t,1,128,256,64,15.419000,15.163650,-1.66
MATVEC,uint32_t,1,128,256,128,15.195000,15.036089,-1.05
MATVEC,uint32_t,1,128,256,256,15.191000,14.983573,-1.37
MATVEC,uint32_t,1,128,512,8,36.977667,33.559664,-9.24
MATVEC,uint32_t,1,128,512,16,33.348333,31.825301,-4.57
MATVEC,uint32_t,1,128,512,32,31.767333,30.741616,-3.23
MATVEC,uint32_t,1,128,512,64,30.712333,30.233127,-1.56
MATVEC,uint32_t,1,128,512,128,30.237667,29.978005,-0.86
MATVEC,uint32_t,1,128,512,256,30.052333,29.872972,-0.60
MATVEC,uint32_t,1,128,1024,8,73.817000,67.025154,-9.20
MATVEC,uint32_t,1,128,1024,16,66.543000,63.556428,-4.49
MATVEC,uint32_t,1,128,1024,32,63.379000,61.389058,-3.14
MATVEC,uint32_t,1,128,1024,64,61.265000,60.372080,-1.46
