data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,8,128,8,0.977333,0.955006,-2.28
uint16_t,8,128,16,1.825667,1.792856,-1.80
uint16_t,8,128,32,3.495333,3.475235,-0.57
uint16_t,8,128,64,6.858000,6.833959,-0.35
uint16_t,4,8192,64,434.649000,432.499306,-0.49
uint16_t,8,256,8,1.873667,1.832957,-2.17
uint16_t,8,256,16,3.575667,3.508774,-1.87
uint16_t,8,128,128,13.597667,13.552605,-0.33
uint16_t,8,256,32,6.924667,6.873535,-0.74
uint16_t,8,256,64,13.659000,13.590887,-0.50
uint16_t,4,16384,32,438.362000,435.052872,-0.75
uint16_t,8,256,128,27.132000,27.028259,-0.38
uint16_t,8,512,8,3.685333,3.588859,-2.62
uint16_t,8,512,16,7.072000,6.940609,-1.86
uint16_t,8,512,32,13.769333,13.670135,-0.72
uint16_t,8,512,64,27.252333,27.104743,-0.54
uint16_t,8,1024,8,7.281667,7.100664,-2.49
uint16_t,8,1024,16,14.089667,13.804281,-2.03
uint16_t,8,512,128,54.183667,53.979567,-0.38
uint16_t,8,1024,32,27.477000,27.263335,-0.78
uint16_t,8,2048,8,14.494333,14.124272,-2.55
uint16_t,8,1024,64,54.400667,54.132455,-0.49
uint16_t,2,16384,128,1730.846000,1724.939178,-0.34
uint16_t,8,2048,16,28.096000,27.531625,-2.01
uint16_t,8,1024,128,108.306333,107.882183,-0.39
uint16_t,8,2048,32,54.867000,54.449734,-0.76
uint16_t,8,4096,8,28.904000,28.171490,-2.53
uint16_t,4,8192,128,865.268667,862.506748,-0.32
uint16_t,8,2048,64,108.789000,108.187880,-0.55
uint16_t,8,4096,16,56.124333,54.986312,-2.03
uint16_t,8,4096,32,109.667000,108.822532,-0.77
uint16_t,8,8192,8,57.724000,56.265925,-2.53
uint16_t,4,16384,64,869.238000,864.926899,-0.50
uint16_t,8,2048,128,216.436000,215.687416,-0.35
uint16_t,8,8192,16,112.119333,109.895686,-1.98
uint16_t,8,4096,64,217.388333,216.298730,-0.50
uint16_t,8,16384,8,115.368000,112.454794,-2.53
uint16_t,8,8192,32,219.275000,217.568128,-0.78
uint16_t,8,4096,128,432.686000,431.297880,-0.32
uint16_t,8,16384,16,224.135667,219.714434,-1.97
uint16_t,16,128,8,1.383667,1.329798,-3.89
uint16_t,16,128,16,2.590667,2.547967,-1.65
uint16_t,16,128,32,5.035667,4.948754,-1.73
uint16_t,16,128,64,9.922333,9.804544,-1.19
uint16_t,8,8192,64,434.658333,432.520430,-0.49
uint16_t,16,128,128,19.687333,19.534561,-0.78
uint16_t,16,256,8,2.668333,2.567759,-3.77
uint16_t,16,256,16,5.105333,5.003346,-2.00
uint16_t,16,256,32,9.980667,9.789744,-1.91
uint16_t,16,256,64,19.730667,19.509351,-1.12
uint16_t,8,16384,32,438.469667,435.059321,-0.78
uint16_t,16,512,8,5.243333,5.043681,-3.81
uint16_t,16,256,128,39.265000,38.966775,-0.76
uint16_t,16,512,16,10.116000,9.914106,-2.00
uint16_t,16,512,32,19.875333,19.471724,-2.03
uint16_t,16,512,64,39.393000,38.918966,-1.20
uint16_t,16,1024,8,10.381333,9.995526,-3.72
uint16_t,16,1024,16,20.140000,19.735624,-2.01
uint16_t,16,512,128,78.416333,77.831204,-0.75
uint16_t,16,1024,32,39.651667,38.835685,-2.06
uint16_t,16,2048,8,20.664333,19.899215,-3.70
uint16_t,16,1024,64,78.693667,77.738196,-1.21
uint16_t,4,16384,128,1730.723333,1724.941784,-0.33
uint16_t,16,2048,16,40.179333,39.378661,-1.99
uint16_t,8,8192,128,865.277667,862.518809,-0.32
uint16_t,16,1024,128,156.743333,155.560061,-0.75
uint16_t,16,2048,32,79.223333,77.563605,-2.09
uint16_t,16,4096,8,41.211667,39.706593,-3.65
uint16_t,16,2048,64,157.263667,155.376656,-1.20
uint16_t,16,4096,16,80.244667,78.664735,-1.97
uint16_t,8,16384,64,869.178333,864.963830,-0.48
uint16_t,16,4096,32,158.289333,155.019446,-2.07
uint16_t,16,8192,8,82.321667,79.321350,-3.64
uint16_t,16,2048,128,313.383667,311.017776,-0.75
uint16_t,16,8192,16,160.362000,157.236883,-1.95
uint16_t,16,4096,64,314.450667,310.653576,-1.21
uint16_t,16,16384,8,164.568000,158.550863,-3.66
uint16_t,16,8192,32,316.529000,309.931127,-2.08
uint16_t,16,16384,16,320.684667,314.381178,-1.97
uint16_t,16,4096,128,626.651667,621.933207,-0.75
uint32_t,1,128,8,0.970000,0.946762,-2.40
uint32_t,1,128,16,1.830667,1.792586,-2.08
uint32_t,1,128,32,3.508333,3.477468,-0.88
uint32_t,1,128,64,6.888000,6.849317,-0.56
uint32_t,1,128,128,13.643333,13.592906,-0.37
uint32_t,1,256,8,1.881667,1.825720,-2.97
uint32_t,1,256,16,3.574333,3.517368,-1.59
uint32_t,1,256,32,6.950333,6.887132,-0.91
uint16_t,16,8192,64,628.738000,621.207416,-1.20
uint32_t,1,256,64,13.708333,13.630830,-0.57
uint32_t,1,512,8,3.680000,3.583635,-2.62
uint32_t,1,256,128,27.215333,27.118008,-0.36
uint32_t,1,512,16,7.083000,6.966931,-1.64
uint32_t,1,512,32,13.820000,13.706460,-0.82
uint32_t,1,1024,8,7.291333,7.099466,-2.63
uint32_t,1,512,64,27.406667,27.193857,-0.78
uint32_t,1,1024,16,14.095000,13.866058,-1.62
uint32_t,1,512,128,54.364667,54.168211,-0.36
uint16_t,8,16384,128,1730.782333,1724.960666,-0.34
uint32_t,1,1024,32,27.559667,27.345116,-0.78
uint16_t,16,16384,32,632.817667,619.754490,-2.06
uint32_t,1,2048,8,14.499333,14.131128,-2.54
uint32_t,1,1024,64,54.607333,54.319909,-0.53
uint32_t,1,2048,16,28.108667,27.664312,-1.58
uint32_t,1,1024,128,108.649667,108.268618,-0.35
uint32_t,1,2048,32,55.040000,54.622428,-0.76
uint32_t,1,4096,8,28.917667,28.194451,-2.50
uint32_t,1,4096,16,56.134000,55.260819,-1.56
uint32_t,1,2048,64,109.120667,108.572014,-0.50
uint32_t,1,4096,32,110.033000,109.177052,-0.78
uint32_t,1,8192,8,57.745000,56.321098,-2.47
uint32_t,1,2048,128,217.151000,216.469432,-0.31
uint32_t,1,8192,16,112.202000,110.453834,-1.56
uint32_t,1,4096,64,218.122667,217.076225,-0.48
uint32_t,1,16384,8,115.399667,112.574392,-2.45
uint32_t,1,8192,32,219.950000,218.286300,-0.76
uint16_t,16,8192,128,1253.262333,1243.764067,-0.76
uint32_t,1,4096,128,434.253333,432.871059,-0.32
uint32_t,1,16384,16,224.260000,220.839864,-1.53
uint32_t,2,128,8,0.976667,0.948068,-2.93
uint32_t,2,128,16,1.825667,1.793892,-1.74
uint32_t,2,128,32,3.510333,3.478774,-0.90
uint32_t,2,128,64,6.889667,6.850620,-0.57
uint32_t,1,8192,64,436.140333,434.084645,-0.47
uint32_t,2,128,128,13.644000,13.594209,-0.36
uint32_t,2,256,8,1.876667,1.827025,-2.65
uint32_t,2,256,16,3.574333,3.518673,-1.56
uint32_t,2,256,32,6.949667,6.888438,-0.88
uint32_t,2,256,64,13.710333,13.632133,-0.57
uint32_t,2,512,8,3.681333,3.584941,-2.62
uint32_t,2,256,128,27.227667,27.119310,-0.40
uint16_t,16,16384,64,1257.500667,1242.315096,-1.21
uint32_t,2,512,16,7.078333,6.968237,-1.56
uint32_t,2,512,32,13.818333,13.707766,-0.80
uint32_t,2,512,64,27.340667,27.195160,-0.53
uint32_t,1,16384,32,439.863333,436.504796,-0.76
uint32_t,2,1024,8,7.292667,7.100772,-2.63
uint32_t,2,512,128,54.368667,54.169514,-0.37
uint32_t,2,1024,16,14.099000,13.867364,-1.64
uint32_t,2,1024,32,27.569667,27.346422,-0.81
uint32_t,2,2048,8,14.506000,14.132433,-2.58
uint32_t,2,1024,64,54.594333,54.321212,-0.50
uint32_t,2,2048,16,28.113667,27.665617,-1.59
uint32_t,2,1024,128,108.665333,108.269921,-0.36
uint32_t,2,2048,32,55.050000,54.623734,-0.77
uint32_t,2,4096,8,28.920667,28.195757,-2.51
uint32_t,1,8192,128,868.356333,865.674314,-0.31
uint32_t,2,2048,64,109.110667,108.573317,-0.49
uint32_t,2,4096,16,56.124000,55.262125,-1.54
uint32_t,2,4096,32,110.072667,109.178358,-0.81
uint32_t,2,8192,8,57.750333,56.322404,-2.47
uint32_t,2,2048,128,217.195000,216.470734,-0.33
uint32_t,2,8192,16,112.190000,110.455140,-1.55
uint32_t,1,16384,64,872.205667,868.101486,-0.47
uint32_t,2,4096,64,218.112333,217.077528,-0.47
uint32_t,2,16384,8,115.419333,112.575697,-2.46
uint32_t,2,8192,32,220.000000,218.287606,-0.78
uint32_t,2,4096,128,434.336000,432.872362,-0.34
uint32_t,2,16384,16,224.273333,220.841169,-1.53
uint32_t,4,128,8,0.987333,0.950672,-3.71
uint32_t,4,128,16,1.963333,1.796497,-8.50
uint32_t,4,128,32,3.524333,3.481377,-1.22
uint32_t,4,128,64,6.880333,6.853226,-0.39
uint32_t,2,8192,64,436.098000,434.085948,-0.46
uint32_t,4,128,128,13.655667,13.596814,-0.43
uint32_t,4,256,8,1.887667,1.829630,-3.07
uint32_t,4,256,16,3.589667,3.521279,-1.91
uint32_t,4,256,32,6.951333,6.891041,-0.87
uint32_t,4,256,64,13.714333,13.634739,-0.58
uint32_t,2,16384,32,439.918667,436.506102,-0.78
uint32_t,4,256,128,27.228333,27.121916,-0.39
uint32_t,4,512,8,3.693333,3.587545,-2.86
uint32_t,4,512,16,7.101333,6.970842,-1.84
uint32_t,4,512,32,13.826000,13.710369,-0.84
uint32_t,4,512,64,27.342333,27.197765,-0.53
uint32_t,4,1024,8,7.299333,7.103376,-2.68
uint32_t,4,512,128,54.373667,54.172120,-0.37
uint32_t,4,1024,16,14.095333,13.869969,-1.60
uint32_t,4,1024,32,27.578667,27.349025,-0.83
uint32_t,4,2048,8,14.493667,14.135038,-2.47
uint32_t,4,1024,64,54.604333,54.323818,-0.51
uint32_t,4,2048,16,28.115667,27.668223,-1.59
uint32_t,4,1024,128,108.637000,108.272526,-0.34
uint32_t,4,2048,32,55.078667,54.626337,-0.82
uint32_t,2,8192,128,868.414333,865.675617,-0.32
uint32_t,1,16384,128,1736.548667,1731.280824,-0.30
uint32_t,4,4096,8,28.924667,28.198361,-2.51
uint32_t,4,2048,64,109.127667,108.575923,-0.51
uint32_t,4,4096,16,56.148667,55.264730,-1.57
uint32_t,4,8192,8,57.751000,56.325008,-2.47
uint32_t,4,4096,32,110.072000,109.180961,-0.81
uint32_t,4,2048,128,217.176667,216.473340,-0.32
uint32_t,2,16384,64,872.192333,868.102789,-0.47
uint32_t,4,8192,16,112.186000,110.457745,-1.54
uint32_t,4,4096,64,218.136000,217.080133,-0.48
uint32_t,4,16384,8,115.463333,112.578302,-2.50
uint32_t,4,8192,32,219.959000,218.290209,-0.76
uint32_t,4,16384,16,224.265667,220.843775,-1.53
uint32_t,4,4096,128,434.289000,432.874968,-0.33
uint32_t,8,128,8,0.996333,0.956114,-4.04
uint32_t,8,128,16,1.851000,1.801727,-2.66
uint32_t,8,128,32,3.534667,3.486938,-1.35
uint32_t,8,128,64,6.905333,6.858588,-0.68
uint32_t,4,8192,64,436.247333,434.088554,-0.49
uint32_t,8,128,128,13.658000,13.602435,-0.41
uint32_t,8,256,8,1.902000,1.835292,-3.51
uint32_t,8,256,16,3.598000,3.526518,-1.99
uint32_t,8,256,32,6.970667,6.896845,-1.06
uint32_t,8,256,64,13.720667,13.640215,-0.59
uint32_t,8,256,128,27.241667,27.127770,-0.42
uint32_t,8,512,8,3.701000,3.593646,-2.90
uint32_t,4,16384,32,439.970333,436.508705,-0.79
uint32_t,8,512,16,7.109000,6.976100,-1.87
uint32_t,8,512,32,13.844000,13.716661,-0.92
uint32_t,8,1024,8,7.299333,7.110355,-2.59
uint32_t,8,512,64,27.370667,27.203469,-0.61
uint32_t,8,1024,16,14.124667,13.875265,-1.77
uint32_t,8,512,128,54.367667,54.178441,-0.35
uint32_t,8,1024,32,27.595333,27.356291,-0.87
uint32_t,8,2048,8,14.534000,14.143773,-2.68
uint32_t,8,1024,64,54.618333,54.329977,-0.53
uint32_t,2,16384,128,1736.862667,1731.282126,-0.32
uint32_t,8,2048,16,28.126667,27.673594,-1.61
uint32_t,8,1024,128,108.665000,108.279782,-0.35
uint32_t,8,2048,32,55.087333,54.635553,-0.82
uint32_t,8,4096,8,28.976333,28.210609,-2.64
uint32_t,4,8192,128,868.403333,865.678222,-0.31
uint32_t,8,2048,64,109.160667,108.582993,-0.53
uint32_t,8,4096,16,56.148333,55.270252,-1.56
uint32_t,8,4096,32,110.118333,109.194076,-0.84
uint32_t,8,8192,8,57.850000,56.344282,-2.60
uint32_t,4,16384,64,872.139667,868.105395,-0.46
uint32_t,8,2048,128,217.229000,216.482464,-0.34
uint32_t,8,8192,16,112.207000,110.463569,-1.55
uint32_t,8,4096,64,218.132000,217.089025,-0.48
uint32_t,8,16384,8,115.541000,112.611627,-2.54
uint32_t,8,8192,32,220.081000,218.311121,-0.80
uint32_t,8,4096,128,434.215000,432.887829,-0.31
uint32_t,8,16384,16,224.294000,220.850202,-1.54
uint32_t,16,128,8,1.401000,1.329800,-5.08
uint32_t,16,128,16,2.627333,2.547447,-3.04
uint32_t,16,128,32,5.069000,4.947779,-2.39
uint32_t,16,128,64,9.937667,9.805367,-1.33
uint32_t,8,8192,64,436.212000,434.101089,-0.48
uint32_t,16,256,8,2.693333,2.568209,-4.65
uint32_t,16,128,128,19.690333,19.528893,-0.82
uint32_t,16,256,16,5.137333,5.001286,-2.65
uint32_t,16,256,32,10.016000,9.786612,-2.29
uint32_t,16,256,64,19.768667,19.509493,-1.31
uint32_t,16,512,8,5.269333,5.045027,-4.26
uint32_t,16,256,128,39.285667,38.944473,-0.87
uint32_t,16,512,16,10.137667,9.908963,-2.26
uint32_t,8,16384,32,440.068333,436.545213,-0.80
uint32_t,16,512,32,19.901333,19.464278,-2.20
uint32_t,16,1024,8,10.393667,9.998664,-3.80
uint32_t,16,1024,16,20.164333,19.724317,-2.18
uint32_t,16,512,64,39.424000,38.917746,-1.28
uint32_t,16,1024,32,39.672667,38.819609,-2.15
uint32_t,16,512,128,78.433000,77.775634,-0.84
uint32_t,16,2048,8,20.687000,19.905937,-3.78
uint32_t,16,1024,64,78.702667,77.734252,-1.23
uint32_t,16,2048,16,40.204000,39.355024,-2.11
uint32_t,4,16384,128,1736.852667,1731.284732,-0.32
uint32_t,16,2048,32,79.231667,77.530272,-2.15
uint32_t,16,1024,128,156.776333,155.437955,-0.85
uint32_t,16,4096,8,41.245333,39.720483,-3.70
uint32_t,16,2048,64,157.259667,155.367262,-1.20
uint32_t,16,4096,16,80.281000,78.616440,-2.07
uint32_t,8,8192,128,868.406333,865.698559,-0.31
uint32_t,16,4096,32,158.304667,154.951597,-2.12
uint32_t,16,8192,8,82.343667,79.349576,-3.64
uint32_t,8,16384,64,872.218333,868.125217,-0.47
uint32_t,16,2048,128,313.377000,310.762598,-0.83
uint32_t,16,8192,16,160.401333,157.139271,-2.03
uint32_t,16,4096,64,314.420333,310.633284,-1.20
uint32_t,16,8192,32,316.510000,309.794248,-2.12
uint32_t,16,16384,8,164.568667,158.607761,-3.62
uint64_t,1,128,8,4.740667,4.592494,-3.13
uint64_t,1,128,16,9.424000,9.077285,-3.68
uint64_t,1,128,32,18.530000,18.048952,-2.60
uint64_t,1,128,64,36.884667,35.992174,-2.42
uint64_t,1,256,8,9.405000,9.117185,-3.06
uint64_t,1,128,128,73.631000,71.884252,-2.37
uint64_t,1,256,16,18.592000,18.086766,-2.72
uint64_t,1,256,32,36.960667,36.030099,-2.52
uint64_t,1,512,8,18.693667,18.166565,-2.82
uint32_t,16,16384,16,320.753667,314.184933,-2.05
uint64_t,1,256,64,73.683333,71.916545,-2.40
uint64_t,1,512,16,37.085000,36.105729,-2.64
uint64_t,1,256,128,147.143000,143.700700,-2.34
uint32_t,16,4096,128,626.674667,621.411884,-0.84
uint64_t,1,512,32,73.804333,71.992394,-2.46
uint64_t,1,1024,8,37.299000,36.265326,-2.77
uint64_t,1,512,64,147.235000,143.765285,-2.36
uint64_t,1,1024,16,74.034667,72.143653,-2.55
uint64_t,1,1024,32,147.477000,143.916984,-2.41
uint64_t,1,2048,8,74.486333,72.462849,-2.72
uint32_t,16,8192,64,628.758667,621.165328,-1.21
uint64_t,1,512,128,294.153000,287.333596,-2.32
uint64_t,1,2048,16,148.007000,144.219502,-2.56
uint64_t,1,1024,64,294.431000,287.462766,-2.37
uint32_t,16,16384,32,632.841333,619.479551,-2.11
uint64_t,1,4096,8,148.834333,144.857893,-2.67
uint64_t,1,2048,32,294.876000,287.766163,-2.41
uint64_t,1,1024,128,588.102333,574.599388,-2.30
uint64_t,1,4096,16,295.878000,288.371201,-2.54
uint64_t,1,2048,64,588.624333,574.857729,-2.34
uint64_t,1,8192,8,297.613333,289.647982,-2.68
uint64_t,1,4096,32,589.652667,575.464522,-2.41
uint64_t,1,8192,16,591.596000,576.674597,-2.52
uint64_t,1,2048,128,1176.288667,1149.130972,-2.31
uint64_t,1,4096,64,1177.212333,1149.647653,-2.34
uint64_t,1,16384,8,594.944000,579.228161,-2.64
uint64_t,1,8192,32,1178.916000,1150.861240,-2.38
uint64_t,2,128,8,4.755000,4.594677,-3.37
uint64_t,2,128,16,9.344000,9.079468,-2.83
uint64_t,2,128,32,18.535667,18.051134,-2.61
uint64_t,2,128,64,36.897333,35.994357,-2.45
uint64_t,2,128,128,73.630000,71.886435,-2.37
uint64_t,2,256,8,9.396000,9.119368,-2.94
uint64_t,2,256,16,18.587667,18.088949,-2.68
uint64_t,1,16384,16,1182.969333,1153.281390,-2.51
uint64_t,2,256,32,36.951667,36.032282,-2.49
uint64_t,2,256,64,73.678667,71.918728,-2.39
uint64_t,2,512,8,18.708333,18.168748,-2.88
uint64_t,2,256,128,147.158000,143.702883,-2.35
uint64_t,2,512,16,37.094667,36.107912,-2.66
uint64_t,1,4096,128,2351.991667,2298.194140,-2.29
uint64_t,2,512,32,73.789333,71.994577,-2.43
uint64_t,2,1024,8,37.294333,36.267509,-2.75
uint64_t,2,512,64,147.263000,143.767468,-2.37
uint64_t,2,1024,16,74.053333,72.145836,-2.58
uint64_t,2,512,128,294.137667,287.335779,-2.31
uint64_t,2,1024,32,147.478000,143.919166,-2.41
uint64_t,1,8192,64,2354.452333,2299.227502,-2.35
uint64_t,2,2048,8,74.489667,72.465032,-2.72
uint64_t,2,1024,64,294.411000,287.464949,-2.36
uint64_t,2,2048,16,147.995667,144.221685,-2.55
uint64_t,2,2048,32,294.831000,287.768346,-2.40
uint64_t,2,1024,128,588.151667,574.601571,-2.30
uint64_t,1,16384,32,2357.625333,2301.654675,-2.37
uint64_t,2,4096,8,148.861667,144.860076,-2.69
uint64_t,2,2048,64,588.617333,574.859912,-2.34
uint64_t,2,4096,16,295.836000,288.373384,-2.52
uint64_t,2,4096,32,589.631667,575.466705,-2.40
uint64_t,2,8192,8,297.582667,289.650165,-2.67
uint64_t,2,2048,128,1176.335333,1149.133155,-2.31
uint64_t,2,8192,16,591.630000,576.676780,-2.53
uint64_t,2,4096,64,1177.079000,1149.649836,-2.33
uint64_t,1,8192,128,4704.919000,4596.320476,-2.31
uint64_t,2,8192,32,1179.185333,1150.863422,-2.40
uint64_t,2,16384,8,595.168333,579.230344,-2.68
uint64_t,1,16384,64,4708.203667,4598.387201,-2.33
uint64_t,2,4096,128,2352.291000,2298.196323,-2.30
uint64_t,4,128,8,4.758333,4.596565,-3.40
uint64_t,4,128,16,9.348000,9.081194,-2.85
uint64_t,4,128,32,18.536000,18.053023,-2.61
uint64_t,4,128,64,36.904667,35.996083,-2.46
uint64_t,2,16384,16,1183.185000,1153.283573,-2.53
uint64_t,4,256,8,9.418333,9.121381,-3.15
uint64_t,4,128,128,73.647333,71.888747,-2.39
uint64_t,4,256,16,18.594000,18.090675,-2.71
uint64_t,4,256,32,36.965667,36.034298,-2.52
uint64_t,4,256,64,73.686333,71.920453,-2.40
uint64_t,2,8192,64,2354.109000,2299.229685,-2.33
uint64_t,4,512,8,18.717333,18.171012,-2.92
uint64_t,4,512,16,37.082333,36.109637,-2.62
uint64_t,4,256,128,147.125000,143.705347,-2.32
uint64_t,4,512,32,73.804000,71.996849,-2.45
uint64_t,4,1024,8,37.307333,36.270275,-2.78
uint64_t,4,512,64,147.265333,143.769194,-2.37
