operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,4,2048,64,40.268333,44.842108,11.36
ADD,uint16_t,4,4096,8,13.558000,14.429863,6.43
ADD,uint16_t,4,4096,16,23.510333,24.477187,4.11
ADD,uint16_t,4,2048,128,79.603000,87.841951,10.35
ADD,uint16_t,4,4096,32,42.760667,45.854171,7.23
ADD,uint16_t,4,8192,8,27.073000,28.792896,6.35
ADD,uint16_t,4,4096,64,80.372333,89.614813,11.50
ADD,uint16_t,2,16384,128,640.598000,702.217726,9.62
ADD,uint16_t,4,2048,256,155.130667,174.247292,12.32
ADD,uint16_t,4,8192,16,46.411000,48.886051,5.33
ADD,uint16_t,4,4096,128,160.200667,175.612417,9.62
ADD,uint16_t,4,8192,32,85.488000,91.639422,7.20
ADD,uint16_t,4,16384,8,54.076333,57.518962,6.37
ADD,uint16_t,4,8192,64,160.812667,179.160222,11.41
ADD,uint16_t,4,16384,16,93.287333,97.703779,4.73
ADD,uint16_t,4,4096,256,310.258333,348.419159,12.30
ADD,uint16_t,8,256,8,0.984000,0.968490,-1.58
ADD,uint16_t,4,16384,32,170.858333,183.209925,7.23
ADD,uint16_t,8,256,16,1.555333,1.598325,2.76
ADD,uint16_t,8,256,32,2.741667,2.936200,7.10
ADD,uint16_t,8,256,64,5.147333,5.674760,10.25
ADD,uint16_t,4,8192,128,320.355333,351.153348,9.61
ADD,uint16_t,8,256,128,10.084333,11.055209,9.63
ADD,uint16_t,8,512,8,1.925000,1.867197,-3.00
ADD,uint16_t,8,512,16,3.042333,3.124618,2.70
ADD,uint16_t,8,256,256,19.505000,21.868828,12.12
ADD,uint16_t,8,512,32,5.411000,5.798167,7.16
ADD,uint16_t,8,512,64,10.217000,11.272248,10.33
ADD,uint16_t,8,1024,8,3.786333,3.664446,-3.22
ADD,uint16_t,8,512,128,20.086667,22.027571,9.66
ADD,uint16_t,4,16384,64,321.373667,358.251040,11.47
ADD,uint16_t,8,1024,16,6.028667,6.177107,2.46
ADD,uint16_t,8,1024,32,10.754333,11.522103,7.14
ADD,uint16_t,8,512,256,38.882667,43.642309,12.24
ADD,uint16_t,2,16384,256,1240.345667,1393.441135,12.34
ADD,uint16_t,8,1024,64,20.371667,22.467227,10.29
ADD,uint16_t,8,2048,8,7.503667,7.258837,-3.26
ADD,uint16_t,8,2048,16,11.987667,12.281879,2.45
ADD,uint16_t,8,1024,128,39.847333,43.972298,10.35
ADD,uint16_t,8,2048,32,21.430000,22.969969,7.19
ADD,uint16_t,8,2048,64,40.675000,44.857180,10.28
ADD,uint16_t,8,4096,8,14.942000,14.448493,-3.30
ADD,uint16_t,8,1024,256,77.663000,87.189274,12.27
ADD,uint16_t,8,4096,16,23.923333,24.491424,2.37
ADD,uint16_t,4,8192,256,620.303667,696.762894,12.33
ADD,uint16_t,8,2048,128,80.134667,87.861746,9.64
ADD,uint16_t,8,4096,32,42.827000,45.865702,7.10
ADD,uint16_t,8,8192,8,29.843667,28.827805,-3.40
ADD,uint16_t,8,4096,64,81.227667,89.637084,10.35
ADD,uint16_t,8,8192,16,47.755000,48.910687,2.42
ADD,uint16_t,8,2048,256,155.238667,174.283197,12.27
ADD,uint16_t,8,8192,32,85.593667,91.657168,7.08
ADD,uint16_t,4,16384,128,640.594667,702.235211,9.62
ADD,uint16_t,8,4096,128,160.216667,175.640642,9.63
ADD,uint16_t,8,16384,8,59.628000,57.586429,-3.42
ADD,uint16_t,8,8192,64,162.416333,179.196893,10.33
ADD,uint16_t,8,16384,16,95.496000,97.752055,2.36
ADD,uint16_t,16,256,8,1.676667,1.572009,-6.24
ADD,uint16_t,16,256,16,2.007333,2.109827,5.11
ADD,uint16_t,16,256,32,3.702667,3.514197,-5.09
ADD,uint16_t,16,256,64,7.076667,6.924033,-2.16
ADD,uint16_t,16,256,128,13.837000,13.608010,-1.65
ADD,uint16_t,16,512,8,3.274333,3.075358,-6.08
ADD,uint16_t,16,512,16,3.928000,4.146124,5.55
ADD,uint16_t,8,4096,256,310.382667,348.471045,12.27
ADD,uint16_t,8,16384,32,171.010667,183.240099,7.15
ADD,uint16_t,16,512,32,7.305667,6.931205,-5.13
ADD,uint16_t,16,256,256,27.389667,27.077320,-1.14
ADD,uint16_t,16,512,64,14.060000,13.759050,-2.14
ADD,uint16_t,16,1024,8,6.467667,6.082056,-5.96
ADD,uint16_t,16,1024,16,7.780000,8.218718,5.64
ADD,uint16_t,16,1024,32,14.536000,13.765222,-5.30
ADD,uint16_t,16,512,128,27.589000,27.130604,-1.66
ADD,uint16_t,16,1024,64,28.040000,27.429083,-2.18
ADD,uint16_t,16,2048,8,12.861000,12.094534,-5.96
