operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,16,128,128,128,143.267667,134.723510,-5.96
MATMUL,uint32_t,1,16,128,256,8,325.598667,305.078116,-6.30
MATMUL,uint32_t,1,16,128,256,4,380.997333,357.192841,-6.25
MATMUL,uint32_t,1,16,128,256,64,288.786000,271.498614,-5.99
MATMUL,uint32_t,1,16,128,256,128,286.370333,269.374473,-5.93
MATMUL,uint32_t,1,16,128,256,32,293.246000,275.881426,-5.92
MATMUL,uint32_t,1,16,128,256,16,303.031333,285.496018,-5.79
MATMUL,uint32_t,1,16,256,16,4,47.507333,44.601664,-6.12
MATMUL,uint32_t,1,16,256,16,8,40.685000,38.130011,-6.28
MATMUL,uint32_t,1,16,256,16,16,37.883000,35.703296,-5.75
MATMUL,uint32_t,1,16,256,32,4,94.908333,89.130779,-6.09
MATMUL,uint32_t,1,16,256,32,8,81.293333,76.187474,-6.28
MATMUL,uint32_t,1,16,256,32,16,75.718333,71.334043,-5.79
MATMUL,uint32_t,1,16,128,512,8,651.189333,610.083684,-6.31
MATMUL,uint32_t,1,16,256,32,32,73.309667,68.951931,-5.94
MATMUL,uint32_t,1,16,128,512,4,760.746000,714.313133,-6.10
MATMUL,uint32_t,1,16,128,512,16,605.819667,570.919488,-5.76
MATMUL,uint32_t,1,16,128,512,32,586.602000,551.690304,-5.95
MATMUL,uint32_t,1,16,256,64,8,162.547667,152.302400,-6.30
MATMUL,uint32_t,1,16,128,512,128,572.660000,538.676397,-5.93
MATMUL,uint32_t,1,16,128,512,64,577.531667,542.924681,-5.99
MATMUL,uint32_t,1,16,256,64,4,190.212333,178.189010,-6.32
MATMUL,uint32_t,1,16,256,64,16,151.354000,142.595538,-5.79
MATMUL,uint32_t,1,16,256,64,32,146.569667,137.831314,-5.96
MATMUL,uint32_t,1,16,256,64,64,144.325333,135.661362,-6.00
MATMUL,uint32_t,1,16,256,128,32,292.890000,275.590080,-5.91
MATMUL,uint32_t,1,16,256,128,16,302.586000,285.118528,-5.77
MATMUL,uint32_t,1,16,256,128,64,288.524333,271.250176,-5.99
MATMUL,uint32_t,1,16,256,128,8,325.045000,304.532251,-6.31
MATMUL,uint32_t,1,16,256,128,4,379.464000,356.305472,-6.10
MATMUL,uint32_t,1,16,256,128,128,286.159667,269.147387,-5.95
MATMUL,uint32_t,1,16,256,256,8,649.925667,608.991954,-6.30
MATMUL,uint32_t,1,16,256,256,4,759.346333,712.538395,-6.16
MATMUL,uint32_t,1,16,256,256,32,585.876333,551.107611,-5.93
MATMUL,uint32_t,1,16,256,256,64,577.032000,542.427803,-6.00
MATMUL,uint32_t,1,16,256,256,128,572.181000,538.222226,-5.93
MATMUL,uint32_t,1,16,256,256,256,570.010333,536.336333,-5.91
MATMUL,uint32_t,1,16,256,256,16,605.221000,570.164507,-5.79
MATMUL,uint32_t,1,16,512,16,4,94.819333,89.019858,-6.12
MATMUL,uint32_t,1,16,512,16,8,81.234667,76.119241,-6.30
MATMUL,uint32_t,1,16,512,16,16,75.663667,71.286857,-5.78
MATMUL,uint32_t,1,16,512,32,4,189.676000,177.967168,-6.17
MATMUL,uint32_t,1,16,512,32,8,162.381333,152.165933,-6.29
MATMUL,uint32_t,1,16,256,512,4,1518.017000,1425.004242,-6.13
MATMUL,uint32_t,1,16,512,32,16,151.213000,142.501165,-5.76
MATMUL,uint32_t,1,16,256,512,16,1210.210000,1140.256466,-5.78
MATMUL,uint32_t,1,16,512,32,32,146.445667,137.758477,-5.93
MATMUL,uint32_t,1,16,256,512,8,1299.644667,1217.911360,-6.29
MATMUL,uint32_t,1,16,256,512,128,1144.240333,1076.371904,-5.93
MATMUL,uint32_t,1,16,256,512,256,1139.834667,1072.600118,-5.90
MATMUL,uint32_t,1,16,256,512,64,1153.985000,1084.783058,-6.00
MATMUL,uint32_t,1,16,256,512,32,1171.911333,1102.142674,-5.95
MATMUL,uint32_t,1,16,512,64,8,324.780333,304.259318,-6.32
MATMUL,uint32_t,1,16,512,64,16,302.372000,284.929782,-5.77
MATMUL,uint32_t,1,16,512,64,32,292.769667,275.444406,-5.92
MATMUL,uint32_t,1,16,512,64,64,288.430667,271.125956,-6.00
MATMUL,uint32_t,1,16,512,64,4,379.059333,355.861787,-6.12
MATMUL,uint32_t,1,16,512,128,16,604.718000,569.787017,-5.78
MATMUL,uint32_t,1,16,512,128,8,649.489667,608.446089,-6.32
MATMUL,uint32_t,1,16,512,128,4,758.420000,711.651026,-6.17
MATMUL,uint32_t,1,16,512,128,64,576.767000,542.179364,-6.00
MATMUL,uint32_t,1,16,512,128,128,571.896000,537.995140,-5.93
MATMUL,uint32_t,1,16,512,128,32,585.489667,550.816265,-5.92
MATMUL,uint32_t,1,16,512,256,8,1298.801000,1216.819629,-6.31
MATMUL,uint32_t,1,16,512,256,4,1515.217333,1423.229504,-6.07
MATMUL,uint32_t,1,16,512,256,32,1171.253333,1101.559981,-5.95
MATMUL,uint32_t,1,16,512,256,16,1209.501333,1139.501485,-5.79
MATMUL,uint32_t,1,16,512,256,64,1153.470000,1084.286180,-6.00
MATMUL,uint32_t,1,16,512,256,128,1143.782333,1075.917732,-5.93
MATMUL,uint32_t,1,16,512,256,256,1139.389667,1072.166674,-5.90
MATMUL,uint32_t,1,32,16,16,4,6.202667,5.853202,-5.63
MATMUL,uint32_t,1,32,16,16,8,5.274333,4.964205,-5.88
MATMUL,uint32_t,1,32,16,16,16,4.878667,4.621403,-5.27
MATMUL,uint32_t,1,32,16,32,4,12.366667,11.627318,-5.98
MATMUL,uint32_t,1,32,16,32,8,10.492667,9.849325,-6.13
MATMUL,uint32_t,1,32,16,32,16,9.716333,9.163721,-5.69
MATMUL,uint32_t,1,32,16,64,4,24.660333,23.175552,-6.02
MATMUL,uint32_t,1,32,16,64,8,20.917000,19.619565,-6.20
MATMUL,uint32_t,1,32,16,64,16,19.350333,18.248356,-5.69
MATMUL,uint32_t,1,32,16,128,4,49.268667,46.272018,-6.08
MATMUL,uint32_t,1,32,16,128,8,41.744333,39.160045,-6.19
MATMUL,uint32_t,1,32,16,128,16,38.631667,36.417627,-5.73
MATMUL,uint32_t,1,32,16,256,4,98.453000,92.464950,-6.08
MATMUL,uint32_t,1,32,16,256,8,83.420667,78.241005,-6.21
MATMUL,uint32_t,1,32,16,256,16,77.188333,72.756169,-5.74
