operation,data_type,thread,iteration,vec_length,n_length,buffer_size,latency,correct
MATMUL,uint32_t,1,16,256,128,32,292.89,True
MATMUL,uint32_t,1,16,256,128,16,302.586,True
MATMUL,uint32_t,1,16,256,128,64,288.524333,True
MATMUL,uint32_t,1,16,256,128,8,325.045,True
MATMUL,uint32_t,1,16,256,128,4,379.464,True
MATMUL,uint32_t,1,16,256,128,128,286.159667,True
MATMUL,uint32_t,1,16,256,256,8,649.925667,True
MATMUL,uint32_t,1,16,256,256,4,759.346333,True
MATMUL,uint32_t,1,16,256,256,32,585.876333,True
MATMUL,uint32_t,1,16,256,256,64,577.032,True
MATMUL,uint32_t,1,16,256,256,128,572.181,True
MATMUL,uint32_t,1,16,256,256,256,570.010333,True
MATMUL,uint32_t,1,16,256,256,16,605.221,True
MATMUL,uint32_t,1,16,512,16,4,94.819333,True
MATMUL,uint32_t,1,16,512,16,8,81.234667,True
MATMUL,uint32_t,1,16,512,16,16,75.663667,True
MATMUL,uint32_t,1,16,512,32,4,189.676,True
MATMUL,uint32_t,1,16,512,32,8,162.381333,True
MATMUL,uint32_t,1,16,256,512,4,1518.017,True
MATMUL,uint32_t,1,16,512,32,16,151.213,True
MATMUL,uint32_t,1,16,256,512,16,1210.21,True
MATMUL,uint32_t,1,16,512,32,32,146.445667,True
MATMUL,uint32_t,1,16,256,512,8,1299.644667,True
MATMUL,uint32_t,1,16,256,512,128,1144.240333,True
MATMUL,uint32_t,1,16,256,512,256,1139.834667,True
MATMUL,uint32_t,1,16,256,512,64,1153.985,True
MATMUL,uint32_t,1,16,256,512,32,1171.911333,True
MATMUL,uint32_t,1,16,512,64,8,324.780333,True
MATMUL,uint32_t,1,16,512,64,16,302.372,True
MATMUL,uint32_t,1,16,512,64,32,292.769667,True
MATMUL,uint32_t,1,16,512,64,64,288.430667,True
MATMUL,uint32_t,1,16,512,64,4,379.059333,True
MATMUL,uint32_t,1,16,512,128,16,604.718,True
MATMUL,uint32_t,1,16,512,128,8,649.489667,True
MATMUL,uint32_t,1,16,512,128,4,758.42,True
MATMUL,uint32_t,1,16,512,128,64,576.767,True
MATMUL,uint32_t,1,16,512,128,128,571.896,True
MATMUL,uint32_t,1,16,512,128,32,585.489667,True
MATMUL,uint32_t,1,16,512,256,8,1298.801,True
MATMUL,uint32_t,1,16,512,256,4,1515.217333,True
MATMUL,uint32_t,1,16,512,256,32,1171.253333,True
MATMUL,uint32_t,1,16,512,256,16,1209.501333,True
MATMUL,uint32_t,1,16,512,256,64,1153.47,True
MATMUL,uint32_t,1,16,512,256,128,1143.782333,True
MATMUL,uint32_t,1,16,512,256,256,1139.389667,True
MATMUL,uint32_t,1,32,16,16,4,6.202667,True
MATMUL,uint32_t,1,32,16,16,8,5.274333,True
MATMUL,uint32_t,1,32,16,16,16,4.878667,True
MATMUL,uint32_t,1,32,16,32,4,12.366667,True
MATMUL,uint32_t,1,32,16,32,8,10.492667,True
MATMUL,uint32_t,1,32,16,32,16,9.716333,True
MATMUL,uint32_t,1,32,16,64,4,24.660333,True
MATMUL,uint32_t,1,32,16,64,8,20.917,True
MATMUL,uint32_t,1,32,16,64,16,19.350333,True
MATMUL,uint32_t,1,32,16,128,4,49.268667,True
MATMUL,uint32_t,1,32,16,128,8,41.744333,True
MATMUL,uint32_t,1,32,16,128,16,38.631667,True
MATMUL,uint32_t,1,32,16,256,4,98.453,True
MATMUL,uint32_t,1,32,16,256,8,83.420667,True
MATMUL,uint32_t,1,32,16,256,16,77.188333,True
MATMUL,uint32_t,1,32,16,512,4,196.739667,True
MATMUL,uint32_t,1,32,16,512,8,166.737,True
MATMUL,uint32_t,1,16,512,512,4,3032.264333,True
MATMUL,uint32_t,1,32,32,16,4,12.097667,True
MATMUL,uint32_t,1,32,32,16,8,10.345667,True
MATMUL,uint32_t,1,32,16,512,16,154.345667,True
MATMUL,uint32_t,1,32,32,16,16,9.600333,True
MATMUL,uint32_t,1,16,512,512,64,2306.881667,True
MATMUL,uint32_t,1,32,32,32,8,20.644,True
MATMUL,uint32_t,1,32,32,32,4,24.179333,True
MATMUL,uint32_t,1,16,512,512,32,2341.788333,True
MATMUL,uint32_t,1,16,512,512,8,2597.615667,True
MATMUL,uint32_t,1,16,512,512,128,2287.223667,True
MATMUL,uint32_t,1,16,512,512,16,2418.231333,True
MATMUL,uint32_t,1,32,32,32,16,19.168,True
MATMUL,uint32_t,1,32,32,32,32,18.506,True
MATMUL,uint32_t,1,32,32,64,8,41.180333,True
MATMUL,uint32_t,1,32,32,64,4,48.234,True
MATMUL,uint32_t,1,32,32,64,16,38.245667,True
MATMUL,uint32_t,1,32,32,64,32,36.94,True
MATMUL,uint32_t,1,16,512,512,256,2279.02,True
MATMUL,uint32_t,1,32,32,128,8,82.268333,True
MATMUL,uint32_t,1,32,32,128,16,76.435333,True
MATMUL,uint32_t,1,32,32,128,4,96.422667,True
MATMUL,uint32_t,1,32,32,128,32,73.819,True
MATMUL,uint32_t,1,32,32,256,16,152.711,True
MATMUL,uint32_t,1,32,32,256,8,164.504667,True
MATMUL,uint32_t,1,32,32,256,4,192.720333,True
MATMUL,uint32_t,1,32,32,256,32,147.555333,True
MATMUL,uint32_t,1,32,64,16,4,23.975333,True
MATMUL,uint32_t,1,32,64,16,8,20.482,True
MATMUL,uint32_t,1,32,64,16,16,19.048333,True
MATMUL,uint32_t,1,32,64,32,4,47.895667,True
MATMUL,uint32_t,1,32,64,32,16,38.053333,True
MATMUL,uint32_t,1,32,64,32,8,40.906,True
MATMUL,uint32_t,1,32,64,32,32,36.812,True
MATMUL,uint32_t,1,32,32,512,16,305.374,True
MATMUL,uint32_t,1,32,32,512,32,295.038333,True
MATMUL,uint32_t,1,32,32,512,8,328.968333,True
MATMUL,uint32_t,1,32,64,64,4,95.786667,True
MATMUL,uint32_t,1,32,32,512,4,385.14,True
MATMUL,uint32_t,1,32,64,64,16,76.004333,True
MATMUL,uint32_t,1,32,64,64,8,81.737667,True
MATMUL,uint32_t,1,32,64,64,32,73.52,True
MATMUL,uint32_t,1,32,64,64,64,72.380333,True
MATMUL,uint32_t,1,32,64,128,8,163.398333,True
MATMUL,uint32_t,1,32,64,128,4,191.446,True
MATMUL,uint32_t,1,32,64,128,16,151.951667,True
MATMUL,uint32_t,1,32,64,128,32,146.992,True
MATMUL,uint32_t,1,32,64,128,64,144.687667,True
MATMUL,uint32_t,1,32,64,256,8,326.714,True
MATMUL,uint32_t,1,32,64,256,16,303.775,True
MATMUL,uint32_t,1,32,64,256,4,382.244333,True
MATMUL,uint32_t,1,32,64,256,32,293.926667,True
MATMUL,uint32_t,1,32,64,256,64,289.297,True
MATMUL,uint32_t,1,32,128,16,4,47.626333,True
MATMUL,uint32_t,1,32,128,16,8,40.760667,True
MATMUL,uint32_t,1,32,128,16,16,37.941333,True
MATMUL,uint32_t,1,32,128,32,4,95.185333,True
MATMUL,uint32_t,1,32,128,32,8,81.476333,True
MATMUL,uint32_t,1,32,128,32,16,75.794667,True
MATMUL,uint32_t,1,32,128,32,32,73.369,True
MATMUL,uint32_t,1,32,64,512,16,607.444333,True
MATMUL,uint32_t,1,32,64,512,8,653.348,True
MATMUL,uint32_t,1,32,128,64,8,162.876333,True
MATMUL,uint32_t,1,32,128,64,4,190.369667,True
MATMUL,uint32_t,1,32,64,512,4,764.722333,True
MATMUL,uint32_t,1,32,64,512,32,587.701667,True
MATMUL,uint32_t,1,32,128,64,16,151.554667,True
MATMUL,uint32_t,1,32,64,512,64,578.506333,True
MATMUL,uint32_t,1,32,128,64,32,146.701667,True
MATMUL,uint32_t,1,32,128,64,64,144.443333,True
MATMUL,uint32_t,1,32,128,128,16,303.013,True
MATMUL,uint32_t,1,32,128,128,8,325.706667,True
MATMUL,uint32_t,1,32,128,128,32,293.281667,True
MATMUL,uint32_t,1,32,128,128,128,286.340333,True
MATMUL,uint32_t,1,32,128,128,64,288.791667,True
MATMUL,uint32_t,1,32,128,128,4,380.587,True
MATMUL,uint32_t,1,32,128,256,8,651.196,True
MATMUL,uint32_t,1,32,128,256,4,760.885667,True
MATMUL,uint32_t,1,32,128,256,32,586.425333,True
MATMUL,uint32_t,1,32,128,256,64,577.512333,True
MATMUL,uint32_t,1,32,128,256,128,572.674,True
MATMUL,uint32_t,1,32,128,256,16,606.050667,True
MATMUL,uint32_t,1,32,256,16,8,81.314333,True
MATMUL,uint32_t,1,32,256,16,4,94.969667,True
MATMUL,uint32_t,1,32,256,16,16,75.698667,True
MATMUL,uint32_t,1,32,256,32,4,189.792,True
MATMUL,uint32_t,1,32,256,32,8,162.529333,True
MATMUL,uint32_t,1,32,256,32,16,151.337333,True
MATMUL,uint32_t,1,32,256,32,32,146.499,True
MATMUL,uint32_t,1,32,128,512,8,1302.181667,True
MATMUL,uint32_t,1,32,128,512,4,1524.667667,True
MATMUL,uint32_t,1,32,256,64,4,379.325667,True
MATMUL,uint32_t,1,32,128,512,16,1211.739333,True
MATMUL,uint32_t,1,32,256,64,8,325.104667,True
MATMUL,uint32_t,1,32,128,512,32,1172.703667,True
MATMUL,uint32_t,1,32,256,64,16,302.649333,True
MATMUL,uint32_t,1,32,128,512,128,1145.318333,True
MATMUL,uint32_t,1,32,128,512,64,1155.010333,True
MATMUL,uint32_t,1,32,256,64,32,292.932667,True
MATMUL,uint32_t,1,32,256,64,64,288.530333,True
MATMUL,uint32_t,1,32,256,128,32,585.933,True
MATMUL,uint32_t,1,32,256,128,16,605.098,True
MATMUL,uint32_t,1,32,256,128,8,650.043333,True
MATMUL,uint32_t,1,32,256,128,64,577.029,True
MATMUL,uint32_t,1,32,256,128,128,572.176,True
MATMUL,uint32_t,1,32,256,128,4,759.061,True
MATMUL,uint32_t,1,32,256,256,8,1299.887333,True
MATMUL,uint32_t,1,32,256,256,4,1518.115667,True
MATMUL,uint32_t,1,32,256,256,32,1171.319333,True
MATMUL,uint32_t,1,32,256,256,64,1153.979667,True
MATMUL,uint32_t,1,32,256,256,256,1140.04,True
MATMUL,uint32_t,1,32,256,256,16,1210.039,True
MATMUL,uint32_t,1,32,256,256,128,1144.170333,True
MATMUL,uint32_t,1,32,512,16,4,189.970333,True
MATMUL,uint32_t,1,32,512,16,8,162.44,True
MATMUL,uint32_t,1,32,512,16,16,151.221333,True
MATMUL,uint32_t,1,32,512,32,4,379.595333,True
MATMUL,uint32_t,1,32,512,32,8,324.765,True
MATMUL,uint32_t,1,32,512,32,16,302.352,True
MATMUL,uint32_t,1,32,256,512,4,3035.394667,True
MATMUL,uint32_t,1,32,512,32,32,292.763667,True
MATMUL,uint32_t,1,32,256,512,16,2419.914667,True
MATMUL,uint32_t,1,32,256,512,256,2279.530333,True
MATMUL,uint32_t,1,32,256,512,128,2288.527333,True
MATMUL,uint32_t,1,32,256,512,64,2307.866667,True
MATMUL,uint32_t,1,32,256,512,32,2343.078333,True
MATMUL,uint32_t,1,32,256,512,8,2600.208,True
MATMUL,uint32_t,1,32,512,64,4,757.887333,True
MATMUL,uint32_t,1,32,512,64,8,649.301667,True
MATMUL,uint32_t,1,32,512,64,32,585.687667,True
MATMUL,uint32_t,1,32,512,64,16,604.616333,True
MATMUL,uint32_t,1,32,512,64,64,576.776,True
MATMUL,uint32_t,1,32,512,128,16,1209.432333,True
MATMUL,uint32_t,1,32,512,128,8,1298.807,True
MATMUL,uint32_t,1,32,512,128,4,1515.764333,True
MATMUL,uint32_t,1,32,512,128,32,1171.333667,True
MATMUL,uint32_t,1,32,512,128,64,1153.483667,True
MATMUL,uint32_t,1,32,512,128,128,1143.731,True
MATMUL,uint32_t,1,32,512,256,8,2597.793667,True
MATMUL,uint32_t,1,32,512,256,4,3032.034333,True
MATMUL,uint32_t,1,32,512,256,16,2418.877,True
MATMUL,uint32_t,1,32,512,256,32,2341.329333,True
MATMUL,uint32_t,1,32,512,256,64,2306.892667,True
MATMUL,uint32_t,1,32,512,256,128,2287.238333,True
MATMUL,uint32_t,1,32,512,256,256,2278.397333,True
MATMUL,uint32_t,1,64,16,16,4,12.359333,True
MATMUL,uint32_t,1,64,16,16,8,10.492333,True
MATMUL,uint32_t,1,64,16,16,16,9.724,True
MATMUL,uint32_t,1,64,16,32,4,24.669333,True
MATMUL,uint32_t,1,64,16,32,8,20.926,True
MATMUL,uint32_t,1,64,16,32,16,19.368667,True
MATMUL,uint32_t,1,64,16,64,4,49.278333,True
MATMUL,uint32_t,1,64,16,64,8,41.771667,True
MATMUL,uint32_t,1,64,16,64,16,38.660333,True
MATMUL,uint32_t,1,64,16,128,4,98.487,True
MATMUL,uint32_t,1,64,16,128,8,83.438,True
MATMUL,uint32_t,1,64,16,128,16,77.216,True
MATMUL,uint32_t,1,64,16,256,4,196.795,True
MATMUL,uint32_t,1,64,16,256,8,166.822333,True
MATMUL,uint32_t,1,64,16,256,16,154.342667,True
MATMUL,uint32_t,1,64,16,512,4,393.680333,True
MATMUL,uint32_t,1,64,16,512,8,333.348,True
MATMUL,uint32_t,1,64,16,512,16,308.583333,True
MATMUL,uint32_t,1,64,32,16,4,24.163667,True
MATMUL,uint32_t,1,64,32,16,8,20.660667,True
MATMUL,uint32_t,1,64,32,16,16,19.163667,True
MATMUL,uint32_t,1,64,32,32,4,48.220667,True
MATMUL,uint32_t,1,64,32,32,8,41.202,True
MATMUL,uint32_t,1,64,32,32,16,38.252667,True
MATMUL,uint32_t,1,64,32,32,32,36.960333,True
MATMUL,uint32_t,1,32,512,512,4,6065.879333,True
MATMUL,uint32_t,1,64,32,64,4,96.404333,True
MATMUL,uint32_t,1,64,32,64,8,82.318,True
MATMUL,uint32_t,1,64,32,64,16,76.441333,True
MATMUL,uint32_t,1,64,32,64,32,73.822333,True
MATMUL,uint32_t,1,32,512,512,64,4613.617333,True
MATMUL,uint32_t,1,64,32,128,8,164.481667,True
MATMUL,uint32_t,1,64,32,128,4,192.611,True
MATMUL,uint32_t,1,32,512,512,32,4683.903,True
MATMUL,uint32_t,1,32,512,512,8,5195.469,True
MATMUL,uint32_t,1,32,512,512,128,4574.570333,True
MATMUL,uint32_t,1,32,512,512,256,4556.988333,True
MATMUL,uint32_t,1,32,512,512,16,4836.995333,True
MATMUL,uint32_t,1,64,32,128,32,147.556,True
MATMUL,uint32_t,1,64,32,128,16,152.782,True
MATMUL,uint32_t,1,64,32,256,8,328.888,True
MATMUL,uint32_t,1,64,32,256,16,305.442,True
MATMUL,uint32_t,1,64,32,256,4,384.787333,True
MATMUL,uint32_t,1,64,32,256,32,295.113333,True
MATMUL,uint32_t,1,64,64,16,8,40.929,True
MATMUL,uint32_t,1,64,64,16,4,47.909333,True
MATMUL,uint32_t,1,64,64,16,16,38.063333,True
MATMUL,uint32_t,1,64,64,32,4,95.714667,True
MATMUL,uint32_t,1,64,64,32,16,76.011333,True
MATMUL,uint32_t,1,64,64,32,8,81.777,True
MATMUL,uint32_t,1,64,64,32,32,73.515667,True
MATMUL,uint32_t,1,64,32,512,32,589.962,True
MATMUL,uint32_t,1,64,32,512,16,610.677333,True
MATMUL,uint32_t,1,64,32,512,8,657.504667,True
MATMUL,uint32_t,1,64,64,64,4,191.606667,True
MATMUL,uint32_t,1,64,64,64,32,146.983333,True
MATMUL,uint32_t,1,64,64,64,16,151.970333,True
MATMUL,uint32_t,1,64,64,64,8,163.436667,True
MATMUL,uint32_t,1,64,32,512,4,770.790333,True
MATMUL,uint32_t,1,64,64,64,64,144.689667,True
MATMUL,uint32_t,1,64,64,128,64,289.302333,True
MATMUL,uint32_t,1,64,64,128,32,293.939667,True
MATMUL,uint32_t,1,64,64,128,16,303.817,True
MATMUL,uint32_t,1,64,64,128,8,326.744333,True
MATMUL,uint32_t,1,64,64,128,4,382.234,True
MATMUL,uint32_t,1,64,64,256,8,653.542,True
MATMUL,uint32_t,1,64,64,256,16,607.504667,True
MATMUL,uint32_t,1,64,64,256,4,765.453333,True
MATMUL,uint32_t,1,64,128,16,4,95.157333,True
MATMUL,uint32_t,1,64,64,256,64,578.534333,True
MATMUL,uint32_t,1,64,64,256,32,587.638,True
MATMUL,uint32_t,1,64,128,16,8,81.464667,True
MATMUL,uint32_t,1,64,128,16,16,75.831667,True
MATMUL,uint32_t,1,64,128,32,4,190.196667,True
MATMUL,uint32_t,1,64,128,32,16,151.539667,True
MATMUL,uint32_t,1,64,128,32,8,162.843,True
MATMUL,uint32_t,1,64,128,32,32,146.683,True
MATMUL,uint32_t,1,64,64,512,16,1215.042667,True
MATMUL,uint32_t,1,64,128,64,8,325.618667,True
MATMUL,uint32_t,1,64,64,512,8,1306.625667,True
MATMUL,uint32_t,1,64,128,64,4,380.593667,True
MATMUL,uint32_t,1,64,128,64,16,302.972333,True
MATMUL,uint32_t,1,64,64,512,4,1529.355333,True
MATMUL,uint32_t,1,64,64,512,32,1175.122,True
MATMUL,uint32_t,1,64,128,64,32,293.272,True
MATMUL,uint32_t,1,64,64,512,64,1156.996,True
MATMUL,uint32_t,1,64,128,64,64,288.803667,True
MATMUL,uint32_t,1,64,128,128,16,605.877,True
MATMUL,uint32_t,1,64,128,128,8,651.054667,True
MATMUL,uint32_t,1,64,128,128,4,761.199,True
MATMUL,uint32_t,1,64,128,128,32,586.47,True
MATMUL,uint32_t,1,64,128,128,64,577.529,True
MATMUL,uint32_t,1,64,128,128,128,572.65,True
MATMUL,uint32_t,1,64,128,256,8,1302.387333,True
MATMUL,uint32_t,1,64,128,256,4,1521.649333,True
MATMUL,uint32_t,1,64,128,256,32,1172.874667,True
MATMUL,uint32_t,1,64,128,256,16,1211.84,True
MATMUL,uint32_t,1,64,128,256,64,1154.977,True
MATMUL,uint32_t,1,64,128,256,128,1145.135333,True
MATMUL,uint32_t,1,64,256,16,8,162.586333,True
MATMUL,uint32_t,1,64,256,16,4,190.171667,True
MATMUL,uint32_t,1,64,256,16,16,151.349333,True
MATMUL,uint32_t,1,64,256,32,4,379.607667,True
MATMUL,uint32_t,1,64,256,32,8,325.065,True
MATMUL,uint32_t,1,64,256,32,16,302.588333,True
MATMUL,uint32_t,1,64,256,32,32,293.043667,True
MATMUL,uint32_t,1,64,128,512,8,2604.403667,True
MATMUL,uint32_t,1,64,256,64,4,759.646667,True
MATMUL,uint32_t,1,64,256,64,8,649.996333,True
MATMUL,uint32_t,1,64,128,512,4,3042.296333,True
MATMUL,uint32_t,1,64,128,512,16,2423.169,True
MATMUL,uint32_t,1,64,256,64,16,605.058,True
MATMUL,uint32_t,1,64,128,512,32,2346.074333,True
MATMUL,uint32_t,1,64,128,512,64,2309.871333,True
MATMUL,uint32_t,1,64,128,512,128,2290.410333,True
MATMUL,uint32_t,1,64,256,64,32,585.872,True
MATMUL,uint32_t,1,64,256,64,64,577.027667,True
MATMUL,uint32_t,1,64,256,128,32,1171.927333,True
MATMUL,uint32_t,1,64,256,128,16,1210.096667,True
MATMUL,uint32_t,1,64,256,128,8,1300.182333,True
MATMUL,uint32_t,1,64,256,128,64,1153.984667,True
MATMUL,uint32_t,1,64,256,128,128,1144.497667,True
