data_type,thread,iteration,buffer_size,latency,correct
uint16_t,16,256,16,1.709667,True
uint16_t,16,256,32,2.789,True
uint16_t,8,16384,256,NA,False
uint16_t,16,256,64,5.228333,True
uint16_t,8,4096,256,224.899667,True
uint16_t,16,256,128,10.115667,True
uint16_t,16,512,8,2.94,True
uint16_t,8,16384,32,128.229333,True
uint16_t,16,512,16,3.353,True
uint16_t,16,256,256,19.877,True
uint16_t,16,512,32,5.487333,True
uint16_t,16,512,64,10.364,True
uint16_t,16,1024,8,5.797333,True
uint16_t,16,1024,16,6.605667,True
uint16_t,16,1024,32,10.902,True
uint16_t,16,512,128,20.138333,True
uint16_t,8,8192,128,229.15,True
uint16_t,16,512,256,39.668,True
uint16_t,16,1024,64,20.659,True
uint16_t,16,2048,8,11.523667,True
uint16_t,16,2048,16,13.171667,True
uint16_t,16,1024,128,40.202667,True
uint16_t,16,2048,32,21.721333,True
uint16_t,8,16384,64,238.315667,True
uint16_t,16,4096,8,22.979,True
uint16_t,16,2048,64,41.234333,True
uint16_t,16,1024,256,79.218333,True
uint16_t,16,4096,16,26.251,True
uint16_t,16,4096,32,43.354667,True
uint16_t,16,2048,128,80.273667,True
uint16_t,16,4096,256,NA,False
uint16_t,16,8192,8,45.888333,True
uint16_t,16,8192,16,52.396667,True
uint16_t,16,4096,64,82.375333,True
uint16_t,16,8192,128,NA,False
uint16_t,16,2048,256,158.310333,True
uint16_t,16,8192,256,NA,False
uint16_t,16,8192,32,86.625667,True
uint16_t,16,16384,8,91.705333,True
uint16_t,16,16384,64,NA,False
uint16_t,16,16384,256,NA,False
uint16_t,16,4096,128,160.461333,True
uint32_t,1,256,16,1.083,True
uint32_t,1,256,8,0.673,True
uint32_t,1,256,32,1.815333,True
uint32_t,1,256,64,3.340667,True
uint16_t,16,16384,128,NA,False
uint16_t,16,16384,16,104.718333,True
uint32_t,1,256,128,6.367333,True
uint32_t,1,512,8,1.309333,True
uint32_t,1,256,256,12.439667,True
uint32_t,1,512,16,2.111,True
uint32_t,1,512,32,3.596,True
uint32_t,1,512,64,6.625,True
uint16_t,16,8192,64,164.679667,True
uint32_t,1,1024,8,2.571333,True
uint32_t,1,512,128,12.697333,True
uint32_t,1,1024,16,4.061333,True
uint32_t,1,1024,32,7.159333,True
uint32_t,1,512,256,24.83,True
uint32_t,1,1024,64,13.225,True
uint32_t,1,2048,8,5.089,True
uint32_t,1,2048,16,8.064333,True
uint32_t,1,1024,128,25.339,True
uint32_t,1,2048,32,14.233333,True
uint16_t,16,16384,32,173.119667,True
uint32_t,1,2048,64,26.372333,True
uint32_t,1,1024,256,49.582333,True
uint32_t,1,4096,8,10.115,True
uint32_t,1,4096,16,16.080667,True
uint32_t,1,2048,128,50.599333,True
uint32_t,1,4096,32,28.428667,True
uint32_t,1,8192,8,20.179,True
uint32_t,1,4096,64,52.675333,True
uint32_t,1,8192,16,32.113667,True
uint32_t,1,2048,256,99.119667,True
uint32_t,1,8192,32,56.782667,True
uint32_t,1,4096,128,101.174333,True
uint32_t,1,16384,8,40.358,True
uint32_t,1,8192,64,105.27,True
uint32_t,1,16384,16,64.176333,True
uint32_t,1,4096,256,198.133667,True
uint32_t,2,256,8,0.71,True
uint32_t,2,256,16,1.057333,True
uint32_t,2,256,32,1.857667,True
uint32_t,1,16384,32,113.508333,True
uint32_t,1,8192,128,202.247667,True
uint32_t,2,256,64,3.338333,True
uint32_t,2,256,128,6.379,True
uint32_t,2,256,256,12.461667,True
uint32_t,2,512,8,1.341,True
uint32_t,2,512,16,2.062,True
uint32_t,2,512,32,3.640667,True
uint32_t,1,16384,64,210.492333,True
uint32_t,2,512,64,6.656,True
uint32_t,2,512,128,12.693333,True
uint32_t,2,1024,8,2.632333,True
uint32_t,2,512,256,24.843667,True
uint32_t,2,1024,16,4.072667,True
uint32_t,2,1024,32,7.203667,True
